,2017,2018,2019,2020,2021,2022
Shares Outstanding,436,433,433,433,425,415
Diluted Weighted Avg Shares,436,433,433,435,431,423
Basic Weighted Avg Shares,433,433,433,433,428,420
Revenue per Share,28.45,29.82,30.29,29.45,33.43,32.58
EBITDA per Share,4.83,4.68,4.60,4.22,5.40,5.30
Operating Income per Share,4.42,4.24,4.19,3.78,4.93,4.84
"Basic EPS, GAAP",1.47,2.42,2.58,2.09,2.91,2.98
Basic EPS from Cont Ops,1.87,2.79,2.93,2.44,3.32,3.26
"Diluted EPS, GAAP",1.46,2.42,2.58,2.08,2.89,2.96
Diluted EPS from Cont Ops,1.85,2.79,2.93,2.43,3.29,3.24
Dividend per Share,0,0,0,0.60,0.92,1.11
Cash Flow per Share,3.35,3.58,3.39,3.42,4.09,3.71
Free Cash Flow per Basic Share,3.04,3.18,3.06,2.99,3.73,3.44
Cash & Equivalents per Share,0,3.07,3.34,4.11,3.68,2.87
Book Value per Share,0,5.26,5.68,-6.96,-5.03,-6.52
Tangible Book Value per Share,0,-0.10,0.44,-12.59,-11.93,-15.91
