,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,92.14,47.14,0,0,0
Return on Assets (%),0,22.97,11.86,8.88,10.84,11.34
Return on Capital (%),0,61.81,30.07,17.68,19.36,19.32
Return on Invested Capital (%),0,93.46,43.57,34.86,36.88,39.32
Gross Margin (%),30.04,28.85,29.17,29.63,29.33,28.64
EBITDA Margin (%),16.98,15.68,15.20,14.35,16.16,16.25
Operating Margin (%),15.55,14.21,13.83,12.85,14.74,14.86
Incremental Operating Margin (%),0,-13.68,-10.34,48.34,30.42,12.23
Pretax Margin (%),15.88,14.66,14.19,11.85,13.72,13.80
Profit Margin (%),5.16,8.12,8.51,7.10,8.71,9.16
Net Income to Common Margin (%),5.16,8.12,8.51,7.10,8.71,9.16
Effective Tax Rate (%),58.66,36.08,31.92,30.11,27.59,27.49
Dvd Payout Ratio (%),0,0,0,21.56,24.65,31.31
Sustainable Growth Rate (%),0,92.14,47.14,0,0,0
