,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,9.92,4.92,4.35,4.48,4.15
Days Sales Outstanding,0,36.81,74.12,84.00,81.43,87.87
Inventory Turnover,0,28.85,15.38,14.60,15.78,15.76
Days Inventory Outstanding,0,12.65,23.73,25.01,23.14,23.16
Accounts Payable Turnover,0,14.55,6.88,6.51,6.69,5.96
Accounts Payable Turnover Days,0,25.09,53.05,56.05,54.54,61.20
Cash Conversion Cycle,0,24.37,44.80,52.95,50.03,49.82
Inventory to Cash Days,0,24.16,50.40,58.99,58.30,64.71
Inventories,0,637,571,659,622,617
Raw Materials,0,128,103,113,140,166
Work In Process,0,0,0,0,0,0
Finished Goods,0,509,468,546,482,451
Other Inventory,0,0,0,0,0,0
