,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,24455,19312,12480,10090,12508,17824,20393,17809,25956,36634
+ Sales & Services Revenue,24455,19312,12480,10090,12508,17824,20393,17809,25956,36634
- Cost of Revenue,12909,11064,10348,9457,9596,10545,14318,16565,18106,18989
+ Cost of Goods & Services,12909,11064,10348,9457,9596,10545,14318,16565,18106,18989
Gross Profit,11546,8248,2132,633,2912,7279,6075,1244,7850,17645
+ Other Operating Income,-15715,0,0,0,0,0,0,0,0,0
- Operating Expenses,2806,2203,1649,1669,1817,2162,3260,2502,3185,3980
"+ Selling, General & Admin",1801,1503,1270,1330,1424,1613,882,864,863,945
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,1005,700,379,339,393,549,2378,1638,2322,3035
Operating Income (Loss),24455,6045,483,-1036,1095,5117,2815,-1258,4665,13665
- Non-Operating (Income) Loss,14797,4821,10167,809,124,-160,2629,14447,960,-452
"+ Interest Expense, Net",4,-53,29,186,246,253,849,1306,1448,877
+ Interest Expense,110,77,147,292,345,389,1066,1424,1614,1030
- Interest Income,106,130,118,106,99,136,217,118,166,153
+ Other Non-Op (Income) Loss,14793,4874,10138,623,-122,-413,1780,13141,-488,-1329
Pretax Income,9658,1224,-9684,-1845,971,5277,186,-15705,3705,14117
- Income Tax Expense (Benefit),3755,1685,-1330,-662,17,1477,693,-2172,915,813
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,5922,-130,-8146,-1002,1311,4131,-507,-13533,2790,13304
- Net Extraordinary Losses (Gains),19,-732,-317,-428,0,0,305,1298,468,800
+ Discontinued Operations,-19,760,317,428,0,0,-15,-1298,-468,0
+ Extraord. & Accounting Changes,38,-1492,-634,-856,0,0,320,2596,936,800
Income (Loss) Incl. MI,5903,602,-7829,-574,1311,4131,-812,-14831,2322,12504
- Minority Interest,0,-14,0,0,0,0,-145,0,0,0
"Net Income, GAAP",5903,616,-7829,-574,1311,4131,-667,-14831,2322,12504
- Preferred Dividends,0,0,0,0,0,0,318,844,800,800
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",5903,616,-7829,-574,1311,4131,-985,-15675,1522,11704
Basic Weighted Avg Shares,804,781,766,764,765,762,810,919,935,926
"Basic EPS, GAAP",7.34,0.79,-10.23,-0.75,1.71,5.42,-1.22,-17.06,1.63,12.64
Basic EPS from Cont Ops,7.36,-0.17,-10.64,-1.31,1.71,5.42,-0.63,-14.73,2.98,14.36
Diluted Weighted Avg Shares,805,781,766,764,766,763,810,919,959,1002
"Diluted EPS, GAAP",7.34,0.79,-10.23,-0.75,1.71,5.41,-1.22,-17.06,1.59,11.68
Diluted EPS from Cont Ops,7.36,-0.17,-10.64,-1.31,1.71,5.41,-0.63,-14.73,2.91,13.28
EBITDA,29802,10306,5027,3232,5097,9094,8796,6839,13112,20591
EBITDA Margin (%),121.86,53.37,40.28,32.03,40.75,51.02,43.13,38.40,50.52,56.21
EBITA,24455,6045,483,-1036,1095,5117,2815,-1258,4665,13665
EBIT,24455,6045,483,-1036,1095,5117,2815,-1258,4665,13665
Gross Margin (%),47.21,42.71,17.08,6.27,23.28,40.84,29.79,6.99,30.24,48.17
Operating Margin (%),100.00,31.30,3.87,-10.27,8.75,28.71,13.80,-7.06,17.97,37.30
Profit Margin (%),24.14,3.19,-62.73,-5.69,10.48,23.18,-3.27,-83.28,8.95,34.13
Sales per Employee,1895736,1650598,1124324,917273,1137091,1620364,1416181,1509237,2222641,3059718
Dividend per Share,1.93,2.83,2.96,3.02,3.07,3.12,3.24,2.01,0.90,1.28
Depreciation Expense,5347,4261,4544,4268,4002,3977,5981,8097,8447,6926
