,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,530,958,1074,1719,1976,4132,3665,5129,4647,6415
"+ Cash, Cash Equivalents & STI",420,773,789,1286,1375,3403,2803,3748,2901,3635
+ Cash & Cash Equivalents,311,654,376,734,744,2507,961,2958,1874,2119
+ ST Investments,109,119,413,551,631,897,1842,790,1027,1516
+ Accounts & Notes Receiv,87,136,212,349,432,467,582,1037,1240,2143
"+ Accounts Receivable, Net",87,136,212,349,432,467,582,1037,1240,2143
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,23,50,73,85,169,261,279,344,506,638
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,56,520,891,1042,1462,1691,2927,3936,5594,5839
"+ Property, Plant & Equip, Net",32,49,63,117,211,273,296,286,182,130
"+ Property, Plant & Equip",52,79,111,195,313,435,540,607,581,600
- Accumulated Depreciation,19,31,48,78,102,162,244,321,399,470
+ LT Investments & Receivables,17,202,539,653,789,548,575,554,888,1052
+ LT Investments,17,202,539,653,789,548,575,554,888,1052
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,7,270,289,272,462,870,2056,3096,4524,4657
+ Total Intangible Assets,1,203,216,208,293,664,1633,2171,3209,3132
+ Goodwill,0,155,164,164,239,523,1352,1813,2710,2748
+ Other Intangible Assets,1,48,53,44,54,141,281,358,499,385
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,5,67,73,65,169,207,423,925,1315,1525
Total Assets,586,1478,1965,2761,3438,5823,6592,9065,10242,12254
+ Payables & Accruals,30,40,41,69,115,156,236,320,386,527
+ Accounts Payable,16,15,13,30,36,49,73,64,57,128
+ Accrued Taxes,3,0,0,0,0,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,12,25,28,39,80,107,162,257,329,399
+ ST Debt,0,0,487,0,0,550,0,0,1558,3677
+ ST Borrowings,0,0,487,0,0,550,0,0,1558,3677
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,176,309,504,777,1086,1433,1818,2371,3173,4102
+ Deferred Revenue,154,260,424,704,968,1269,1582,2049,2742,3641
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,22,49,80,74,118,164,236,322,431,461
Total Current Liabilities,206,348,1032,847,1201,2139,2053,2692,5117,8306
+ LT Debt,0,467,0,508,525,1370,1430,3421,1982,276
+ LT Borrowings,0,467,0,508,525,1370,1430,3084,1668,0
+ LT Finance Leases,0,0,0,0,0,0,0,337,313,276
+ Other LT Liabilities,107,195,357,616,953,1326,1523,1851,2380,3461
+ Accrued Liabilities,95,163,290,537,805,1096,1307,1761,2282,3353
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,12,32,67,79,148,230,216,90,98,108
Total Noncurrent Liabilities,107,662,357,1125,1477,2695,2953,5272,4361,3737
Total Liabilities,313,1010,1389,1971,2679,4835,5006,7964,9478,12044
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,382,804,989,1516,1600,1967,2491,2259,2311,1933
+ Common Stock,0,0,0,1516,1600,1967,2491,2259,2311,1933
+ Additional Paid in Capital,382,804,989,0,0,0,0,0,0,0
