,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.03,0.04,0.07,0.07,0.04,0.04,0.08,0.09,0.14,0.17
Current Ratio,0.98,1.02,1.05,1.03,1.01,1.03,1.07,1.09,1.13,1.16
Quick Ratio,0.03,0.04,0.08,0.07,0.05,0.05,0.08,0.10,0.15,0.18
CFO/Avg Current Liab,0.06,0.04,0.06,0.12,0.13,0.17,0.16,0.13,0.17,0.17
Common Equity/Total Assets,2.65,0.78,3.10,6.59,10.17,26.03,23.19,27.62,28.50,30.69
Long-Term Debt/Equity (%),4133.56,35.24,25.40,24.64,25.42,9.74,5.86,4.44,3.06,2.45
Long-Term Debt/Capital (%),74.58,78.73,47.09,28.47,19.87,7.57,5.06,3.88,2.90,2.36
Long-Term Debt/Total Assets (%),12.66,3.27,2.85,2.66,2.54,2.14,1.24,1.12,0.85,0.74
Total Debt/Equity (%),4678.37,36.39,26.30,25.59,26.07,10.27,6.20,4.71,3.26,2.45
Total Debt/Capital (%),84.41,81.31,48.76,29.57,20.39,7.99,5.35,4.11,3.08,2.36
Total Debt/Total Assets (%),14.33,3.38,2.95,2.77,2.60,2.26,1.31,1.18,0.91,0.74
CFO/Total Liabilities,4.16,3.08,5.52,10.29,10.71,15.57,11.44,11.64,13.76,13.42
CFO/CapEx,1.38,1.57,2.60,2.26,2.20,3.09,2.41,2.41,2.53,2.67
Altman's Z-Score,0.24,1.47,2.19,2.26,2.97,4.69,5.63,8.98,7.39,5.22
