,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
+ Net Income,628,675,757,817,934,1034,1098,1098,1393,1557
+ Depreciation & Amortization,105,107,115,127,138,182,210,192,192,177
+ Non-Cash Items,94,105,120,120,133,290,267,266,289,283
+ Stock-Based Compensation,26,31,35,35,45,46,47,53,53,63
+ Deferred Income Taxes,-5,-4,7,8,19,11,-4,-21,2,-44
+ Asset Impairment Charge,0,0,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,72,78,78,77,69,233,223,234,234,265
+ Chg in Non-Cash Work Cap,55,9,27,-104,72,-216,-134,-295,-368,-318
+ (Inc) Dec in Accts Receiv,-22,-30,-36,-103,17,-103,56,-271,-268,-126
+ (Inc) Dec in Inventories,0,0,0,0,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,23,-8,-5,-34,18,-11,-2,-16,-8,-18
+ Inc (Dec) in Accts Payable,45,51,63,49,47,87,-5,169,152,67
+ Inc (Dec) in Other,9,-4,4,-15,-10,-189,-183,-177,-245,-242
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,881,895,1018,960,1276,1290,1441,1260,1506,1699
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,17
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,17
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-84,-103,-98,-94,-154,-124,-127,-115,-133,-143
+ Acq of Fixed Prod Assets,-84,-103,-98,-94,-154,-124,-127,-115,-133,-143
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,230,-301,-588,-559,1373,-507,915,-318,-1253,358
+ Dec in LT Investment,30081,33720,11984,49903,51593,34639,26133,5772,16555,14943
+ Inc in LT Investment,-29850,-34020,-12572,-50462,-50220,-35146,-25218,-6090,-17808,-14585
+ Net Cash From Acq & Div,-9,-27,-296,0,-180,-991,-6,-19,-25,-3
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,-9,-27,-296,0,-180,-991,-6,-19,-25,-3
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-453,146,919,229,-1717,-5,-10,-9,-11,-10
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-316,-285,-63,-425,-679,-1628,772,-461,-1421,219
+ Dividends Paid,-511,-552,-606,-662,-740,-827,-889,-909,-1000,-1175
+ Net Cash From Debt,0,0,0,0,0,796,5,2,1,2
+ Cash From Debt,0,0,0,0,0,796,5,2,1,2
+ Repayments of Debt,0,0,0,0,0,0,0,0,0,0
+ Cash (Repurchase) of Equity,-250,-182,-108,-166,-143,-57,-172,-156,-145,0
+ Increase in Capital Stock,0,0,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,-250,-182,-108,-166,-143,-57,-172,-156,-145,0
+ Other Financing Activities,241,142,-279,346,459,-930,-432,426,164,462
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-520,-593,-994,-483,-424,-1018,-1488,-636,-979,-711
Effect of Foreign Exchange Rates,0,0,0,0,0,0,0,0,0,0
Net Changes in Cash,45,18,-38,53,174,-1356,725,163,-895,1207
EBITDA,1088,1160,1262,1367,1426,1553,1670,1653,2032,2210
EBITDA Margin (%),43.18,42.35,42.74,43.36,42.16,41.16,41.34,40.74,44.06,44.13
Net Cash Paid for Acquisitions,9,27,296,0,180,992,6,20,25,3
Free Cash Flow,797,792,921,866,1122,1166,1314,1146,1373,1556
Free Cash Flow to Firm,797,793,921,868,1125,1179,1344,1173,1401,1584
Free Cash Flow to Equity,797,792,921,866,1122,1962,1319,1148,1374,1575
Free Cash Flow per Basic Share,2.19,2.18,2.55,2.41,3.13,3.25,3.66,3.18,3.81,4.32
Price/Free Cash Flow,15.60,18.05,17.65,20.32,16.67,22.08,16.64,26.64,27.50,21.11
Cash Flow to Net Income,1.40,1.33,1.35,1.18,1.37,1.25,1.31,1.15,1.08,1.09
