,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,5977,6389,5822,6164,6281,9195,10165,9602,11086,12815
"+ Cash, Cash Equivalents & STI",296,151,123,177,449,1668,1570,484,165,734
+ Cash & Cash Equivalents,296,151,123,177,449,1668,1570,484,165,734
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,3867,4577,4162,4811,4272,6292,6987,6139,8483,8837
"+ Accounts Receivable, Net",1091,960,1106,1252,1243,1148,1287,1883,2345,2645
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",2776,3617,3056,3559,3029,5144,5700,4256,6138,6192
+ Inventories,454,476,439,463,481,554,647,628,596,842
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,454,476,439,463,481,554,647,628,596,842
+ Other ST Assets,1360,1185,1098,713,1079,681,961,2351,1842,2402
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,49628,53738,57517,62434,61731,67800,75031,88254,92091,105829
"+ Property, Plant & Equip, Net",41252,43941,46723,50581,53789,58557,63921,67877,71060,77519
"+ Property, Plant & Equip",59096,63062,67342,72595,77248,83272,90376,95635,100191,108465
- Accumulated Depreciation,17844,19121,20619,22014,23459,24715,26455,27758,29131,30946
+ LT Investments & Receivables,2342,2421,2470,2606,2863,2730,3173,3538,3798,3297
+ LT Investments,2342,2421,2470,2606,2863,2730,3173,3538,3798,3297
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,6034,7376,8324,9247,5079,6513,7937,16839,17233,25013
+ Total Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Goodwill,0,0,0,0,0,0,0,0,0,0
+ Other Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,6034,7376,8324,9247,5079,6513,7937,16839,17233,25013
Total Assets,55605,60127,63339,68598,68012,76995,85196,97856,103177,118644
+ Payables & Accruals,3818,3441,3187,3025,3743,3963,4321,4725,5052,5950
+ Accounts Payable,1293,1244,1414,1495,1646,1975,1954,2402,2853,2888
+ Accrued Taxes,0,0,0,0,0,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,2525,2197,1773,1530,2097,1988,2367,2323,2199,3062
+ ST Debt,2063,633,1179,2216,1376,21995,2056,4108,7106,4554
+ ST Borrowings,2063,633,1179,2216,1376,21995,1500,3575,6639,4323
+ ST Finance Leases,0,0,0,0,0,0,556,533,467,231
+ Other ST Liabilities,1612,1846,1997,2323,2010,15737,1254,4748,5152,5284
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,1612,1846,1997,2323,2010,15737,1254,4748,5152,5284
Total Current Liabilities,7493,5920,6363,7564,7129,41695,7631,13581,17310,15788
+ LT Debt,12717,15050,16030,16220,17753,0,1730,38496,34442,48985
+ LT Borrowings,12717,15050,16030,16220,17753,0,0,37288,33632,47742
+ LT Finance Leases,0,0,0,0,0,0,1730,1208,810,1243
+ Other LT Liabilities,20801,23157,24118,26622,23658,22397,70447,24526,25815,30796
+ Accrued Liabilities,7823,8513,9206,10213,5822,3281,320,1398,3409,2732
+ Pension Liabilities,1601,2561,2622,2641,2128,2119,1884,2444,764,231
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,11377,12083,12290,13768,15708,16997,68243,20684,21642,27833
Total Noncurrent Liabilities,33518,38207,40148,42842,41411,22397,72177,63022,60257,79781
Total Liabilities,41011,44127,46511,50406,48540,64092,79808,76603,77567,95569
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,258,258,0
+ Share Capital & APIC,19100,20842,22564,24396,25264,25820,13038,58510,29608,32887
+ Common Stock,9550,10421,11282,12198,12632,12910,13038,30224,1322,32887
+ Additional Paid in Capital,9550,10421,11282,12198,12632,12910,0,28286,28286,0
- Treasury Stock,0,0,0,0,0,0,0,0,-4854,2517
+ Retained Earnings,4742,5316,5301,5751,6596,-250,-7892,-9196,-4247,-7542
+ Other Equity,50,11,-7,-9,-8,-9,-10,-27,-9,-5
Equity Before Minority Interest,14342,15748,16576,17940,19220,12651,5136,21001,25358,22823
+ Minority/Non Controlling Interest,252,252,252,252,252,252,252,252,252,252
Total Equity,14594,16000,16828,18192,19472,12903,5388,21253,25610,23075
Total Liabilities & Equity,55605,60127,63339,68598,68012,76995,85196,97856,103177,118644
Shares Outstanding,457,476,492,507,515,520,529,1985,1985,2218
Capital Leases - Total,0,0,0,0,0,0,2286,1741,1277,1474
Net Debt,14484,15532,17086,18259,18680,20327,-70,40379,40106,51331
Net Debt to Equity,99.25,97.08,101.53,100.37,95.93,157.54,-1.30,189.99,156.60,222.45
Tangible Common Equity Ratio,26,27,27,27,29,17,6,21,25,19
Current Ratio,0.80,1.08,0.91,0.81,0.88,0.22,1.33,0.71,0.64,0.81
