,2019,2020,2021,2022
Total Debt,6508,6478,6375,6706
ST Debt,93,130,1166,996
LT Debt,6415,6348,5209,5711
Total Debt/EBITDA,6.35,7.10,6.22,6.28
Net Debt/EBITDA,6.06,6.85,5.87,6.02
Total Debt/EBIT,17.83,30.11,18.73,18.81
Net Debt/EBIT,17.00,29.07,17.67,18.02
EBITDA to Interest Expense,4.54,4.18,6.49,6.17
EBITDA-CapEx/Interest Expense,4.54,4.18,6.49,6.17
EBIT to Interest Expense,1.62,0.99,2.15,2.06
Interest Expense,226,218,158,173
Common Equity/Total Assets,-22.06,-21.59,-23.47,-23.61
Long-Term Debt/Equity (%),96.22,86.44,73.79,78.35
Long-Term Debt/Capital (%),160.59,176.52,156.12,157.90
Long-Term Debt/Total Assets (%),45.72,39.88,34.14,36.21
Total Debt/Equity (%),97.61,88.20,90.31,92.01
Total Debt/Capital (%),162.92,180.13,191.07,185.42
Total Debt/Total Assets (%),46.38,40.69,41.78,42.52
Net Debt to Equity,93.10,85.15,85.17,88.16
Net Debt/Capital (%),161.21,176.06,189.17,181.28
EBITDA,1025,912,1025,1067
EBITDA-CapEx,1025,912,1025,1067
Operating Income (Loss),365,215,340,357
