,2019,2020,2021,2022
Shares Outstanding,505,538,539,547
Diluted Weighted Avg Shares,489,531,539,539
Basic Weighted Avg Shares,486,531,539,539
Revenue per Share,4.11,3.10,3.52,3.83
EBITDA per Share,2.11,1.72,1.90,1.98
Operating Income per Share,0.75,0.41,0.63,0.66
"Basic EPS, GAAP",0.09,0.78,0.94,0.93
Basic EPS from Cont Ops,0.12,0.30,0.26,0.95
"Diluted EPS, GAAP",0.09,0.78,0.94,0.93
Diluted EPS from Cont Ops,0.12,0.30,0.26,0.95
Dividend per Share,1.48,1.48,1.21,1.20
Cash Flow per Share,1.74,1.43,1.48,1.67
Free Cash Flow per Basic Share,1.74,1.43,1.48,1.67
Cash & Equivalents per Share,0.29,0.08,0.29,0.13
Book Value per Share,-6.13,-6.39,-6.64,-6.81
Tangible Book Value per Share,12.54,12.68,12.13,12.57
