,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,36489,36682,38978,42086,42606,41265,52145,38274,36998,34870
ST Debt,6027,5141,10160,10688,9940,8836,16190,2703,2241,2945
LT Debt,30462,31541,28818,31398,32666,32429,35955,35571,34757,31925
Total Debt/EBITDA,1.60,1.93,2.15,2.16,2.09,1.93,2.62,2.83,1.46,0.82
Net Debt/EBITDA,1.51,1.75,1.95,2.03,2.03,1.87,2.55,2.70,1.38,0.81
Total Debt/EBIT,2.23,2.72,3.00,3.07,3.02,2.74,3.75,4.37,1.83,0.94
Net Debt/EBIT,2.10,2.47,2.72,2.88,2.93,2.67,3.65,4.17,1.73,0.92
EBITDA to Interest Expense,16.11,14.00,15.12,16.43,16.04,16.28,12.66,9.34,19.69,34.20
EBITDA-CapEx/Interest Expense,15.07,12.83,13.88,14.75,14.30,14.61,11.01,7.42,17.59,31.58
EBIT to Interest Expense,11.57,9.93,10.82,11.58,11.11,11.43,8.84,6.05,15.67,30.11
Interest Expense,1414,1360,1199,1186,1270,1316,1574,1449,1291,1238
Common Equity/Total Assets,40.78,42.91,43.27,42.09,49.92,56.47,58.59,63.05,57.23,63.96
Long-Term Debt/Equity (%),39.76,44.04,44.34,52.47,45.59,50.86,56.67,56.04,44.87,33.28
Long-Term Debt/Capital (%),28.46,28.76,25.79,27.39,25.38,24.63,23.87,26.20,24.63,19.80
Long-Term Debt/Total Assets (%),17.70,18.63,17.21,18.30,19.01,20.34,21.47,23.06,19.15,16.19
Total Debt/Equity (%),47.62,51.22,59.97,70.33,59.46,64.72,82.19,60.30,47.76,36.35
Total Debt/Capital (%),34.10,33.45,34.88,36.71,33.10,31.34,34.62,28.19,26.22,21.62
Total Debt/Total Assets (%),21.20,21.67,23.28,24.52,24.80,25.88,31.13,24.82,20.39,17.68
Net Debt to Equity,44.77,46.55,54.37,65.99,57.59,62.93,80.13,57.49,45.25,35.92
Net Debt/Capital (%),32.72,31.36,32.69,35.25,32.39,30.74,34.05,27.24,25.19,21.42
EBITDA,22776,19036,18133,19487,20376,21429,19931,13537,25426,42336
EBITDA-CapEx,21311,17453,16637,17488,18159,19233,17337,10746,22715,39100
Operating Income (Loss),16366,13499,12976,13730,14107,15045,13921,8760,20235,37272
