,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),35.24,12.79,9.59,9.97,26.97,12.69,17.30,9.84,21.86,27.28
Return on Assets (%),12.30,5.35,4.13,4.26,12.41,6.73,9.96,5.98,13.09,16.57
Return on Capital (%),23.00,9.34,7.11,7.25,0,9.49,12.54,7.64,16.71,21.47
Return on Invested Capital (%),10.20,9.07,9.50,11.55,0,12.87,11.57,7.51,17.19,27.27
Gross Margin (%),81.42,80.69,80.25,76.66,78.61,79.03,80.25,79.26,62.08,65.77
EBITDA Margin (%),44.15,38.38,37.12,36.89,38.78,39.94,38.51,32.30,31.28,42.20
Operating Margin (%),31.73,27.21,26.56,25.99,26.85,28.04,26.90,20.90,24.89,37.15
Incremental Operating Margin (%),21.95,144.87,69.36,18.98,-135.61,85.20,59.25,52.44,29.14,89.47
Pretax Margin (%),30.47,24.67,18.35,15.81,23.42,22.15,34.17,17.89,29.91,34.61
Profit Margin (%),42.65,18.42,14.25,13.66,40.55,20.79,31.45,22.95,27.04,31.27
Net Income to Common Margin (%),42.65,18.41,14.25,13.66,40.55,20.79,31.44,22.95,27.04,31.27
Effective Tax Rate (%),27.40,25.49,22.20,13.45,0,5.94,7.83,6.36,7.62,9.58
Dvd Payout Ratio (%),57.31,72.22,99.13,100.79,35.79,71.13,49.26,119.60,38.79,28.58
Sustainable Growth Rate (%),15.04,3.55,0.08,-0.08,17.32,3.66,8.78,-1.93,13.38,19.48
