,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1861,2165,2708,3148,6576,8810,4907,5396,4899,6388
ST Debt,0,0,0,0,3269,4405,499,0,0,0
LT Debt,1861,2165,2708,3148,3306,4405,4407,5396,4899,6388
Total Debt/EBITDA,18.37,22.29,17.99,15.78,27.85,33.57,16.03,16.26,14.52,18.98
Net Debt/EBITDA,17.63,21.18,16.50,14.72,12.88,33.31,15.29,16.03,13.96,18.37
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,0.86,0.83,1.11,1.42,1.54,1.58,1.61,1.53,1.54,1.38
EBITDA-CapEx/Interest Expense,-0.33,-0.09,0.15,-0.11,0.53,-0.02,-0.30,0.50,0.43,0.18
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,118,117,136,141,153,167,190,217,219,244
Common Equity/Total Assets,16.78,18.31,17.67,17.11,17.09,19.26,20.52,21.75,22.39,21.61
Long-Term Debt/Equity (%),30.07,31.24,37.15,39.56,35.61,40.70,32.23,31.67,26.87,40.20
Long-Term Debt/Capital (%),31.24,31.44,33.94,35.50,25.07,24.11,26.45,27.21,22.98,27.55
Long-Term Debt/Total Assets (%),7.62,8.39,9.08,9.42,8.54,9.46,8.03,8.42,6.89,8.47
Total Debt/Equity (%),30.07,31.24,37.15,39.56,70.82,81.41,35.88,31.67,26.87,40.20
Total Debt/Capital (%),31.24,31.44,33.94,35.50,49.86,48.21,29.44,27.21,22.98,27.55
Total Debt/Total Assets (%),7.62,8.39,9.08,9.42,16.99,18.92,8.94,8.42,6.89,8.47
Net Debt to Equity,28.85,29.68,34.07,36.91,32.76,80.77,34.23,31.22,25.84,38.92
Net Debt/Capital (%),30.36,30.34,32.03,33.92,23.53,48.01,28.47,26.93,22.30,26.91
EBITDA,101,97,151,200,236,262,306,332,337,337
EBITDA-CapEx,-39,-11,20,-15,80,-4,-57,108,94,45
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
