,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Price/Earnings,17.99,16.34,17.46,21.30,19.54,14.61,19.12,22.36,24.17,23.83
Price/Earnings Average,16.59,17.04,17.73,19.04,22.24,14.44,18.79,19.20,28.76,18.86
Price/Earnings High,18.68,18.84,19.79,22.60,26.68,16.61,22.99,23.99,33.22,23.87
Price/Earnings Low,13.58,14.10,13.98,14.24,19.12,12.10,9.90,12.86,22.51,14.53
Price/Book Value,2.02,1.61,1.34,1.90,1.76,1.70,1.69,2.60,2.02,0
Price/Book Value Average,1.86,1.68,1.36,1.70,2.00,1.68,1.67,2.24,2.40,0
Price/Book Value High,2.10,1.86,1.52,2.01,2.40,1.93,2.04,2.79,2.77,0
Price/Book Value Low,1.52,1.39,1.07,1.27,1.72,1.41,0.88,1.50,1.88,0
Price/Tangible Book Value,8.12,13.92,18.52,-7.96,-12.47,-17.21,-4.17,-12.35,-15.76,-5.68
Price/Tangible Book Value Average,7.49,14.52,18.80,-7.12,-14.20,-17.01,-4.10,-10.60,-18.75,-4.49
Price/Tangible Book Value High,8.43,16.05,21.00,-8.45,-17.03,-19.56,-5.01,-13.24,-21.66,-5.68
Price/Tangible Book Value Low,6.13,12.01,14.83,-5.32,-12.20,-14.26,-2.16,-7.10,-14.68,-3.46
Price/Sales,1.42,1.30,1.24,1.74,1.45,1.54,1.68,2.72,2.00,2.60
Price/Sales Average,1.31,1.36,1.26,1.56,1.65,1.53,1.66,2.34,2.39,2.06
Price/Sales High,1.47,1.50,1.41,1.85,1.98,1.75,2.02,2.92,2.76,2.61
Price/Sales Low,1.07,1.12,0.99,1.16,1.42,1.28,0.87,1.57,1.87,1.59
Price/Cash Flow,13.50,12.70,12.04,16.08,12.95,12.77,11.14,15.16,13.02,16.66
Price/Cash Flow Average,12.44,13.25,12.23,14.38,14.74,12.62,10.95,13.02,15.49,13.18
Price/Cash Flow High,14.01,14.65,13.65,17.06,17.69,14.52,13.39,16.27,17.90,16.68
Price/Cash Flow Low,10.19,10.96,9.64,10.75,12.67,10.58,5.77,8.72,12.13,10.15
Price/Free Cash Flow,11.86,11.06,10.80,14.13,11.42,11.64,10.12,14.22,12.07,14.94
Price/Free Cash Flow Average,10.93,11.54,10.97,12.64,13.00,11.50,9.95,12.21,14.36,11.82
Price/Free Cash Flow High,12.31,12.76,12.24,14.99,15.59,13.22,12.17,15.25,16.59,14.96
Price/Free Cash Flow Low,8.95,9.55,8.65,9.45,11.17,9.64,5.24,8.18,11.24,9.10
EV/Sales,1.43,1.34,1.31,2.15,1.73,1.79,2.25,3.13,2.69,3.24
EV/Sales Average,1.36,1.45,1.41,1.97,1.93,1.78,2.23,2.75,3.07,2.69
EV/Sales High,1.52,1.59,1.55,2.26,2.26,2.01,2.60,3.33,3.44,3.24
EV/Sales Low,1.12,1.23,1.14,1.58,1.70,1.54,1.44,1.98,2.56,2.22
EV/EBITDA,10.89,9.33,10.02,14.85,10.54,10.20,13.45,15.14,12.49,15.85
EV/EBITDA Average,10.38,10.11,10.76,13.60,11.76,10.15,13.31,13.30,14.26,13.19
EV/EBITDA High,11.64,11.07,11.87,15.61,13.76,11.44,15.52,16.12,15.98,15.87
EV/EBITDA Low,8.57,8.53,8.74,10.90,10.36,8.76,8.62,9.56,11.86,10.87
EV/EBIT,13.52,11.29,12.63,18.66,13.15,12.34,17.58,18.95,15.00,20.07
EV/EBIT Average,12.89,12.23,13.56,17.09,14.68,12.29,17.40,16.64,17.13,16.70
EV/EBIT High,14.45,13.40,14.97,19.61,17.17,13.85,20.29,20.16,19.19,20.09
EV/EBIT Low,10.64,10.32,11.02,13.69,12.92,10.61,11.27,11.96,14.24,13.77
Last Price,125.63,115.68,104.06,157.05,155.85,170.01,179.57,302.65,247.33,386.75
High Price,130.44,133.41,117.98,166.60,212.80,193.19,215.94,324.68,340.00,387.30
Low Price,94.81,99.82,83.32,105.00,152.47,140.82,93.00,174.07,230.44,235.69
Enterprise Value,18848,17065,14882,25870,24744,25586,30805,44914,42698,61706
Enterprise Value Average,17962,18488,15979,23691,27629,25478,30487,39438,48763,51358
Enterprise Value High,20137,20255,17629,27181,32318,28715,35551,47798,54630,61785
Enterprise Value Low,14832,15601,12985,18976,24330,21987,19747,28348,40557,42334
