,2019,2020,2021,2022
Total Debt,12378,17336,18163,25414
ST Debt,184,172,491,1538
LT Debt,12193,17164,17672,23876
Total Debt/EBITDA,5.81,5.85,5.68,6.21
Net Debt/EBITDA,5.07,5.48,5.37,6.14
Total Debt/EBIT,12.48,12.37,11.23,11.14
Net Debt/EBIT,10.90,11.59,10.61,11.02
EBITDA to Interest Expense,9.41,9.88,12.78,14.02
EBITDA-CapEx/Interest Expense,9.41,9.88,12.78,14.02
EBIT to Interest Expense,4.38,4.67,6.47,7.81
Interest Expense,227,300,250,292
Common Equity/Total Assets,-5.36,-4.26,-2.26,-0.51
Long-Term Debt/Equity (%),46.77,47.25,46.82,41.26
Long-Term Debt/Capital (%),88.87,88.63,83.27,80.51
Long-Term Debt/Total Assets (%),30.46,30.61,30.22,27.16
Total Debt/Equity (%),47.47,47.73,48.13,43.92
Total Debt/Capital (%),90.21,89.52,85.59,85.70
Total Debt/Total Assets (%),30.92,30.92,31.06,28.91
Net Debt to Equity,41.49,44.74,45.46,43.44
Net Debt/Capital (%),85.64,86.59,83.03,85.56
EBITDA,2132,2964,3195,4093
EBITDA-CapEx,2132,2964,3195,4093
Operating Income (Loss),992,1402,1617,2280
