,2019,2020,2021,2022
Market Capitalization,56318,0,0,104066
- Cash & Cash Equivalents,1089,598,556,278
+ Preferred Equity and Hybrid Capital,69,64,64,64
+ Minority/Non Controlling Interest,3419,4353,4315,4626
+ Total Debt,12378,17336,18163,25414
Enterprise Value,71095,21155,21987,133891
Total Capital,13720,19366,21222,29656
Total Debt/Capital (%),90.21,89.52,85.59,85.70
Total Debt / EV,0.17,0.82,0.83,0.19
EV/Sales,21.35,4.77,4.62,22.41
EV/EBITDA,33.35,7.14,6.88,32.71
EV/EBIT,71.67,15.09,13.59,58.71
EV/Cash Flow to Firm,28.65,6.58,6.80,30.23
EV/Free Cash Flow to Firm,28.65,6.58,6.80,30.23
Diluted Market Cap,58378,0,0,91493
Diluted Enterprise Value,73154,21155,21987,121318
EV per Share,112.53,28.61,29.72,145.04
TTM Sales,3331,4439,4759,5974
TTM EBITDA,2132,2964,3195,4093
TTM Operating Income,992,1402,1617,2280
TTM Cash Flow to Firm,2481,3215,3233,4429
TTM Free Cash Flow to Firm,2481,3215,3233,4429
