,2019,2020,2021,2022
Price/Earnings,35.87,0,0,26.37
Price/Earnings Average,31.82,0,0,27.32
Price/Earnings High,37.35,0,0,40.83
Price/Earnings Low,22.70,0,0,13.99
Price/Book Value,-26.26,0,0,-232.05
Price/Book Value Average,-23.29,0,0,-240.44
Price/Book Value High,-27.34,0,0,-359.28
Price/Book Value Low,-16.61,0,0,-123.14
Price/Tangible Book Value,2.19,0,0,1.84
Price/Tangible Book Value Average,1.94,0,0,1.90
Price/Tangible Book Value High,2.28,0,0,2.85
Price/Tangible Book Value Low,1.39,0,0,0.98
Price/Sales,16.88,0,0,14.83
Price/Sales Average,14.97,0,0,15.36
Price/Sales High,17.57,0,0,22.96
Price/Sales Low,10.68,0,0,7.87
Price/Cash Flow,24.83,0,0,21.46
Price/Cash Flow Average,22.02,0,0,22.24
Price/Cash Flow High,25.85,0,0,33.23
Price/Cash Flow Low,15.71,0,0,11.39
Price/Free Cash Flow,25.78,0,0,22.17
Price/Free Cash Flow Average,22.87,0,0,22.97
Price/Free Cash Flow High,26.84,0,0,34.33
Price/Free Cash Flow Low,16.31,0,0,11.77
EV/Sales,21.35,4.77,4.62,22.41
EV/Sales Average,19.43,4.77,4.62,23.04
EV/Sales High,22.04,4.77,4.62,31.97
EV/Sales Low,15.14,4.77,4.62,14.24
EV/EBITDA,33.35,7.14,6.88,32.71
EV/EBITDA Average,30.36,7.14,6.88,33.63
EV/EBITDA High,34.43,7.14,6.88,46.65
EV/EBITDA Low,23.65,7.14,6.88,20.78
EV/EBIT,71.67,15.09,13.59,58.71
EV/EBIT Average,65.25,15.09,13.59,60.36
EV/EBIT High,74.00,15.09,13.59,83.74
EV/EBIT Low,50.82,15.09,13.59,37.30
Last Price,89.14,0,0,112.73
High Price,92.80,0,0,174.54
Low Price,56.40,0,0,59.82
Enterprise Value,71095,21155,21987,133891
Enterprise Value Average,64729,21155,21987,137654
Enterprise Value High,73407,21155,21987,190951
Enterprise Value Low,50410,21155,21987,85048
