,2019,2020,2021,2022
Shares Outstanding,632,739,740,923
Diluted Weighted Avg Shares,655,754,765,812
Basic Weighted Avg Shares,631,728,739,786
Revenue per Share,5.28,6.09,6.44,7.60
EBITDA per Share,3.38,4.07,4.32,5.21
Operating Income per Share,1.57,1.92,2.19,2.90
"Basic EPS, GAAP",2.48,2.03,3.97,4.28
Basic EPS from Cont Ops,2.70,2.22,4.26,4.53
"Diluted EPS, GAAP",2.39,1.96,3.84,4.14
Diluted EPS from Cont Ops,2.60,2.14,4.12,4.38
Dividend per Share,2.13,2.37,2.53,3.27
Cash Flow per Share,3.59,4.03,4.05,5.25
Free Cash Flow per Basic Share,3.59,4.03,4.05,5.25
Cash & Equivalents per Share,1.72,0.81,0.75,0.30
Book Value per Share,-3.39,-3.23,-1.78,-0.49
Tangible Book Value per Share,40.66,48.06,50.18,61.33
