,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,3.08,5.13,4.60
Return on Capital (%),0,9.82,14.62,0
Return on Invested Capital (%),0,2.81,2.79,0
Gross Margin (%),72.41,73.64,73.77,74.74
EBITDA Margin (%),64.01,66.77,67.14,68.52
Operating Margin (%),29.78,31.58,33.98,38.17
Incremental Operating Margin (%),0,36.99,67.23,54.60
Pretax Margin (%),53.33,39.36,69.82,61.78
Profit Margin (%),47.23,33.38,61.77,56.33
Net Income to Common Margin (%),47.05,33.24,61.64,56.23
Effective Tax Rate (%),4.19,7.47,5.24,0
Dvd Payout Ratio (%),73.42,98.37,55.70,68.59
Sustainable Growth Rate (%),0,0,0,0
