,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,41816,53258,52755,53007,59385,57704,60581,37195,30784,58713
ST Debt,4997,4995,14,301,297,285,318,0,0,0
LT Debt,36819,48263,52741,52706,59088,57419,60263,37195,30784,58713
Total Debt/EBITDA,36.49,53.90,48.49,44.43,53.16,51.11,46.07,24.85,17.36,90.19
Net Debt/EBITDA,22.37,17.33,16.68,18.79,22.87,36.50,24.42,-36.74,-29.03,37.40
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-1.33,-1.09,-1.04,-0.95,-0.65,-0.39,-0.35,-1.10,-3.64,-0.27
EBITDA-CapEx/Interest Expense,-1.33,-1.09,-1.04,-0.95,-0.65,-0.39,-0.35,-1.10,-3.64,-0.27
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-860,-906,-1045,-1261,-1706,-2861,-3797,-1361,-487,-2422
Common Equity/Total Assets,8.12,8.38,8.86,9.38,10.03,10.89,10.95,10.62,9.48,10.10
Long-Term Debt/Equity (%),83.50,104.75,114.70,112.31,124.17,120.20,122.13,68.83,55.24,128.16
Long-Term Debt/Capital (%),52.96,57.67,61.49,59.53,60.51,57.78,57.10,42.86,36.75,51.04
Long-Term Debt/Total Assets (%),11.50,13.99,14.71,14.39,15.52,15.02,14.69,7.97,5.51,10.54
Total Debt/Equity (%),94.83,115.59,114.73,112.95,124.80,120.80,122.78,68.83,55.24,128.16
Total Debt/Capital (%),60.14,63.64,61.50,59.87,60.82,58.07,57.40,42.86,36.75,51.04
Total Debt/Total Assets (%),13.06,15.43,14.72,14.47,15.60,15.09,14.77,7.97,5.51,10.54
Net Debt to Equity,58.14,37.16,39.46,47.77,53.67,86.25,65.07,-101.77,-92.36,53.15
Net Debt/Capital (%),48.06,36.00,35.46,38.68,40.03,49.72,41.66,1017.86,-3426.76,30.18
EBITDA,1146,988,1088,1193,1117,1129,1315,1497,1773,651
EBITDA-CapEx,1146,988,1088,1193,1117,1129,1315,1497,1773,651
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
