,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.03,0.05,0.04,0.07,0.09,0.05,0.07,0.07,0.03,0.07
Current Ratio,2.19,2.18,2.17,2.35,2.43,2.99,2.49,2.32,2.38,2.99
Quick Ratio,0.51,0.53,0.56,0.64,0.70,0.73,0.65,0.67,0.54,0.59
CFO/Avg Current Liab,0.41,0.44,0.49,0.55,0.57,0.38,0.86,0.91,0.51,0.68
Common Equity/Total Assets,-3.31,-10.15,-11.18,-18.50,-17.83,-17.62,-4.36,7.70,16.31,18.33
Long-Term Debt/Equity (%),86.11,130.68,128.26,212.92,228.02,294.11,151.56,86.17,125.72,126.32
Long-Term Debt/Capital (%),112.42,138.69,145.75,171.91,157.35,146.73,99.46,72.72,68.91,67.42
Long-Term Debt/Total Assets (%),29.91,35.76,35.04,43.95,46.21,52.99,41.91,31.67,41.70,43.76
Total Debt/Equity (%),86.11,131.30,128.92,213.46,232.87,298.21,168.16,97.56,133.26,134.46
Total Debt/Capital (%),112.42,139.35,146.51,172.34,160.70,148.78,110.35,82.33,73.04,71.76
Total Debt/Total Assets (%),29.91,35.93,35.22,44.06,47.20,53.73,46.50,35.86,44.20,46.58
CFO/Total Liabilities,19.55,18.78,21.47,20.96,19.97,11.66,27.84,36.14,14.52,20.81
CFO/CapEx,5.61,7.03,5.02,4.81,4.45,3.76,8.96,18.32,8.32,11.12
Altman's Z-Score,4.62,7.04,7.55,7.83,8.02,7.73,8.66,12.47,10.75,7.75
