,2019,2020,2021,2022
Total Debt,1902,2545,7475,6871
ST Debt,0,0,0,0
LT Debt,1902,2545,7475,6871
Total Debt/EBITDA,0.96,1.30,3.12,2.28
Net Debt/EBITDA,0.75,1.16,2.82,2.02
Total Debt/EBIT,1.30,1.80,4.45,3.23
Net Debt/EBIT,1.02,1.62,4.01,2.87
EBITDA to Interest Expense,43.34,34.90,26.37,22.11
EBITDA-CapEx/Interest Expense,39.24,31.88,23.40,18.74
EBIT to Interest Expense,32.10,25.07,18.51,15.60
Interest Expense,46,56,91,136
Common Equity/Total Assets,-5.70,-7.59,-3.07,-0.53
Long-Term Debt/Equity (%),20.95,29.67,79.33,67.58
Long-Term Debt/Capital (%),35.65,46.63,67.16,61.23
Long-Term Debt/Total Assets (%),16.74,21.54,43.01,39.14
Total Debt/Equity (%),20.95,29.67,79.33,67.58
Total Debt/Capital (%),35.65,46.63,67.16,61.23
Total Debt/Total Assets (%),16.74,21.54,43.01,39.14
Net Debt to Equity,16.44,26.67,71.53,59.96
Net Debt/Capital (%),30.30,43.98,64.84,58.35
EBITDA,1978,1964,2394,3015
EBITDA-CapEx,1791,1794,2124,2555
Operating Income (Loss),1465,1411,1681,2126
