,2019,2020,2021,2022
Shares Outstanding,174,175,175,175
Diluted Weighted Avg Shares,175,175,176,176
Basic Weighted Avg Shares,174,174,175,175
Revenue per Share,16.33,16.71,19.53,23.86
EBITDA per Share,11.35,11.26,13.69,17.20
Operating Income per Share,8.41,8.09,9.61,12.13
"Basic EPS, GAAP",7.52,6.59,10.10,23.71
Basic EPS from Cont Ops,8.75,7.80,11.21,24.91
"Diluted EPS, GAAP",7.51,6.59,10.06,23.57
Diluted EPS from Cont Ops,8.74,7.79,11.16,24.77
Dividend per Share,9.23,9.21,9.09,22.30
Cash Flow per Share,11.86,11.71,14.55,17.79
Free Cash Flow per Basic Share,10.79,10.73,13.00,15.16
Cash & Equivalents per Share,2.35,1.48,4.19,4.42
Book Value per Share,-3.72,-5.14,-3.04,-0.53
Tangible Book Value per Share,27.57,26.23,28.67,31.86
