,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,11.71,13.38,24.90
Return on Capital (%),0,26.12,24.57,39.98
Return on Invested Capital (%),0,12.77,12.00,12.53
Gross Margin (%),72.01,70.24,73.05,74.82
EBITDA Margin (%),69.48,67.39,70.08,72.08
Operating Margin (%),51.47,48.41,49.20,50.84
Incremental Operating Margin (%),0,-79.11,53.80,58.18
Pretax Margin (%),53.59,46.70,57.37,104.40
Profit Margin (%),53.41,46.56,57.18,103.99
Net Income to Common Margin (%),46.03,39.46,51.72,99.34
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),105.91,120.82,78.81,88.66
Sustainable Growth Rate (%),0,0,0,0
