,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,3490,4325,3142,3951,5294,9379,9671,7024,17870,24384
+ Sales & Services Revenue,3490,4325,3142,3951,5294,9379,9671,7024,17870,24384
- Cost of Revenue,2059,2663,3250,3794,4013,6603,7356,6196,10976,13652
+ Cost of Goods & Services,2059,2663,3250,3794,4013,6603,7356,6196,10976,13652
Gross Profit,1431,1662,-108,157,1281,2776,2315,828,6894,10732
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,406,522,438,462,451,509,392,300,350,390
"+ Selling, General & Admin",296,333,327,325,326,381,324,244,292,334
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,110,189,111,137,125,128,68,56,58,56
Operating Income (Loss),1025,1140,-546,-305,830,2267,1923,528,6544,10342
- Non-Operating (Income) Loss,1586,-457,-125,654,521,1016,936,789,3798,391
"+ Interest Expense, Net",167,175,165,175,100,88,45,172,138,9
+ Interest Expense,184,184,187,207,153,126,121,196,161,128
- Interest Income,17,9,22,32,53,38,76,24,23,119
+ Other Non-Op (Income) Loss,1420,-632,-290,479,421,928,891,617,3660,382
Pretax Income,-562,1597,-421,-959,309,1251,987,-261,2746,9951
- Income Tax Expense (Benefit),-212,556,-155,-403,-524,276,231,-61,628,2106
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-350,1041,-266,-556,833,975,756,-200,2118,7845
- Net Extraordinary Losses (Gains),527,111,7,0,0,-6,0,0,0,0
+ Discontinued Operations,-450,-111,-7,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,977,222,14,0,0,-6,0,0,0,0
Income (Loss) Incl. MI,-877,930,-273,-556,833,981,756,-200,2118,7845
- Minority Interest,-39,0,0,0,0,3,0,0,0,0
"Net Income, GAAP",-838,930,-273,-556,833,978,756,-200,2118,7845
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-838,930,-273,-556,833,978,756,-200,2118,7845
Basic Weighted Avg Shares,136,144,149,166,170,171,167,165,233,240
"Basic EPS, GAAP",-6.16,6.46,-1.83,-3.35,4.90,5.72,4.53,-1.21,9.09,32.69
Basic EPS from Cont Ops,-2.57,7.23,-1.79,-3.35,4.90,5.70,4.53,-1.21,9.09,32.69
Diluted Weighted Avg Shares,136,144,149,166,170,171,167,165,246,252
"Diluted EPS, GAAP",-6.16,6.46,-1.83,-3.35,4.90,5.72,4.53,-1.21,8.61,31.13
Diluted EPS from Cont Ops,-2.57,7.23,-1.79,-3.35,4.90,5.70,4.53,-1.21,8.61,31.13
EBITDA,1932,2187,839,1175,2230,3801,3634,2167,9042,12872
EBITDA Margin (%),55.36,50.57,26.70,29.74,42.12,40.53,37.58,30.85,50.60,52.79
EBITA,1025,1140,-546,-305,830,2267,1923,528,6544,10342
EBIT,1025,1140,-546,-305,830,2267,1923,528,6544,10342
Gross Margin (%),41.00,38.43,-3.44,3.97,24.20,29.60,23.94,11.79,38.58,44.01
Operating Margin (%),29.36,26.36,-17.38,-7.72,15.68,24.17,19.88,7.52,36.62,42.41
Profit Margin (%),-24.03,21.50,-8.69,-14.07,15.73,10.43,7.82,-2.85,11.85,32.17
Sales per Employee,830245,1061350,841908,1096282,1380083,2952156,4163151,3790610,9249482,11745665
Dividend per Share,0.08,0.08,0.08,0.08,0.08,0.32,0.76,2.10,6.84,26.12
Depreciation Expense,907,1047,1385,1480,1400,1534,1711,1639,2498,2530
