,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.31,0.65,0.95,1.63,0.99,0.79,0.33,0.82,0.99,0.31
Current Ratio,1.38,1.49,2.18,2.11,1.41,1.42,0.88,1.36,1.52,0.96
Quick Ratio,0.66,0.94,1.58,1.97,1.30,1.24,0.75,1.19,1.41,0.83
CFO/Avg Current Liab,1.88,1.67,0.82,0.99,1.13,1.64,1.44,0.95,2.03,2.85
Common Equity/Total Assets,13.56,17.32,15.18,10.51,14.99,19.39,21.12,18.10,10.76,15.91
Long-Term Debt/Equity (%),40.11,31.03,38.29,26.20,20.24,18.86,16.58,28.27,30.35,19.35
Long-Term Debt/Capital (%),61.23,50.68,53.79,55.11,43.19,39.68,30.34,46.78,61.57,39.82
Long-Term Debt/Total Assets (%),21.58,17.85,21.16,16.57,13.43,12.76,10.54,17.01,18.83,12.20
Total Debt/Equity (%),40.11,31.03,43.64,30.86,24.22,18.86,21.41,30.34,31.95,23.36
Total Debt/Capital (%),61.23,50.68,61.30,64.91,51.68,39.68,39.19,50.21,64.81,48.07
Total Debt/Total Assets (%),21.58,17.85,24.12,19.52,16.07,12.76,13.61,18.25,19.82,14.73
CFO/Total Liabilities,37.78,37.34,18.41,24.77,36.51,55.97,44.83,27.19,43.36,85.98
CFO/CapEx,0.81,0.73,0.59,0.81,0.88,0.92,1.04,1.30,1.91,2.89
Altman's Z-Score,3.55,2.98,2.09,3.49,3.84,3.57,3.29,2.24,3.19,4.32
