,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1612,1479,0,0,1000,1998,4965,8939,9048,10417
ST Debt,1103,1093,0,0,1000,1998,0,0,999,0
LT Debt,509,386,0,0,0,0,4965,8939,8049,10417
Total Debt/EBITDA,1.04,0.83,0,0,0.33,0.61,1.34,1.94,1.62,1.94
Net Debt/EBITDA,0.01,-0.40,-0.66,-0.69,-0.61,-1.70,-0.64,0.90,0.69,0.49
Total Debt/EBIT,1.48,1.17,0,0,0.44,0.80,1.78,2.61,2.09,2.58
Net Debt/EBIT,0.01,-0.57,-0.92,-1.00,-0.83,-2.23,-0.85,1.21,0.89,0.65
EBITDA to Interest Expense,0,0,0,-770.00,-437.71,42.58,32.19,22.09,24.09,17.63
EBITDA-CapEx/Interest Expense,0,0,0,-547.00,-342.43,31.90,26.07,17.95,20.18,15.31
EBIT to Interest Expense,0,0,0,-528.67,-322.71,32.51,24.26,16.40,18.64,13.30
Interest Expense,0,0,0,-3,-7,77,115,209,232,304
Common Equity/Total Assets,0,0,2.31,6.25,9.38,13.57,16.25,17.57,21.81,24.08
Long-Term Debt/Equity (%),6.89,4.68,0,0,0,0,29.33,44.55,37.05,51.38
Long-Term Debt/Capital (%),31.58,26.10,0,0,0,0,37.19,41.87,31.46,35.47
Long-Term Debt/Total Assets (%),2.66,1.76,0,0,0,0,9.67,12.70,10.62,13.23
Total Debt/Equity (%),21.81,17.93,0,0,6.25,12.99,29.33,44.55,41.64,51.38
Total Debt/Capital (%),100.00,100.00,0,0,20.73,25.36,37.19,41.87,35.37,35.47
Total Debt/Total Assets (%),8.41,6.75,0,0,2.45,4.61,9.67,12.70,11.94,13.23
Net Debt to Equity,0.11,-8.75,-10.12,-10.81,-11.77,-36.25,-14.08,20.66,17.72,13.03
Net Debt/Capital (%),100.00,100.00,192.14,-331.94,-97.06,-1840.59,-39.72,25.04,18.89,12.23
EBITDA,1544,1784,2117,2310,3064,3279,3702,4617,5589,5361
EBITDA-CapEx,1153,1292,1395,1641,2397,2456,2998,3751,4681,4655
Operating Income (Loss),1091,1268,1509,1586,2259,2503,2790,3428,4324,4044
