,2019,2020,2021,2022
Total Debt,4142,4143,3935,3940
ST Debt,484,265,0,0
LT Debt,3658,3879,3935,3940
Total Debt/EBITDA,5.92,7.21,5.37,5.11
Net Debt/EBITDA,5.43,6.17,4.95,4.74
Total Debt/EBIT,11.20,15.37,8.70,8.34
Net Debt/EBIT,10.28,13.15,8.01,7.74
EBITDA to Interest Expense,4.96,3.85,5.24,5.46
EBITDA-CapEx/Interest Expense,4.96,3.85,5.24,5.46
EBIT to Interest Expense,2.62,1.80,3.23,3.34
Interest Expense,141,149,140,141
Common Equity/Total Assets,-12.63,-16.13,-16.80,-16.24
Long-Term Debt/Equity (%),58.16,64.03,64.40,63.78
Long-Term Debt/Capital (%),130.06,158.15,179.32,174.49
Long-Term Debt/Total Assets (%),32.86,35.47,36.46,36.28
Total Debt/Equity (%),65.86,68.40,64.40,63.78
Total Debt/Capital (%),147.28,168.94,179.32,174.49
Total Debt/Total Assets (%),37.21,37.89,36.46,36.28
Net Debt to Equity,60.48,58.51,59.31,59.21
Net Debt/Capital (%),141.04,170.90,172.64,167.07
EBITDA,700,575,733,771
EBITDA-CapEx,700,575,733,771
Operating Income (Loss),370,270,452,472
