,2019,2020,2021,2022
Price/Earnings,44.04,0,0,22.09
Price/Earnings Average,45.95,0,0,20.50
Price/Earnings High,49.04,0,0,27.84
Price/Earnings Low,39.44,0,0,11.24
Price/Book Value,-7.50,0,0,-6.05
Price/Book Value Average,-7.82,0,0,-5.62
Price/Book Value High,-8.35,0,0,-7.62
Price/Book Value Low,-6.71,0,0,-3.08
Price/Tangible Book Value,1.74,0,0,1.78
Price/Tangible Book Value Average,1.82,0,0,1.66
Price/Tangible Book Value High,1.94,0,0,2.25
Price/Tangible Book Value Low,1.56,0,0,0.91
Price/Sales,9.31,0,0,8.71
Price/Sales Average,9.71,0,0,8.09
Price/Sales High,10.36,0,0,10.98
Price/Sales Low,8.33,0,0,4.43
Price/Cash Flow,16.97,0,0,16.26
Price/Cash Flow Average,17.71,0,0,15.10
Price/Cash Flow High,18.90,0,0,20.50
Price/Cash Flow Low,15.20,0,0,8.28
Price/Free Cash Flow,17.04,0,0,16.37
Price/Free Cash Flow Average,17.78,0,0,15.20
Price/Free Cash Flow High,18.97,0,0,20.64
Price/Free Cash Flow Low,15.26,0,0,8.33
EV/Sales,12.93,3.78,3.35,11.94
EV/Sales Average,13.33,3.78,3.35,11.32
EV/Sales High,13.98,3.78,3.35,14.21
EV/Sales Low,11.95,3.78,3.35,7.66
EV/EBITDA,20.92,6.68,5.34,18.96
EV/EBITDA Average,21.57,6.68,5.34,17.97
EV/EBITDA High,22.63,6.68,5.34,22.56
EV/EBITDA Low,19.34,6.68,5.34,12.17
EV/EBIT,39.60,14.24,8.65,30.95
EV/EBIT Average,40.84,14.24,8.65,29.33
EV/EBIT High,42.84,14.24,8.65,36.83
EV/EBIT Low,36.62,14.24,8.65,19.86
Last Price,63.09,0,0,62.50
High Price,70.26,0,0,78.78
Low Price,56.50,0,0,31.80
Enterprise Value,14648,3838,3912,14619
Enterprise Value Average,15106,3838,3912,13854
Enterprise Value High,15846,3838,3912,17397
Enterprise Value Low,13546,3838,3912,9380
