,2019,2020,2021,2022
Shares Outstanding,167,169,171,171
Diluted Weighted Avg Shares,168,169,171,172
Basic Weighted Avg Shares,167,169,170,171
Revenue per Share,6.78,6.01,6.85,7.17
EBITDA per Share,4.19,3.40,4.30,4.52
Operating Income per Share,2.21,1.59,2.66,2.77
"Basic EPS, GAAP",1.43,0.27,2.12,2.83
Basic EPS from Cont Ops,1.31,0.28,2.15,2.86
"Diluted EPS, GAAP",1.43,0.26,2.12,2.81
Diluted EPS from Cont Ops,1.31,0.28,2.15,2.84
Dividend per Share,2.34,1.78,2.37,2.51
Cash Flow per Share,3.72,2.95,3.87,3.84
Free Cash Flow per Basic Share,3.72,2.95,3.87,3.84
Cash & Equivalents per Share,0.69,2.24,0.56,0.40
Book Value per Share,-8.41,-10.42,-10.62,-10.33
Tangible Book Value per Share,36.18,34.68,34.53,35.04
