,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,0.41,3.33,4.46
Return on Capital (%),0,7.29,21.36,27.81
Return on Invested Capital (%),0,2.61,4.47,4.68
Gross Margin (%),72.98,69.19,71.99,71.74
EBITDA Margin (%),61.80,56.58,62.82,62.99
Operating Margin (%),32.64,26.53,38.78,38.59
Incremental Operating Margin (%),0,85.80,121.76,34.80
Pretax Margin (%),19.33,4.66,31.41,39.87
Profit Margin (%),21.13,4.42,30.99,39.45
Net Income to Common Margin (%),21.13,4.42,30.99,39.45
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),175.28,604.16,108.60,86.84
Sustainable Growth Rate (%),0,0,0,0
