,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,4246,4695,5095,5250,5267,5800,6074,5109,6461,7238
+ Sales & Services Revenue,4246,4695,5095,5250,5267,5800,6074,5109,6461,7238
- Cost of Revenue,2523,2772,2980,3090,3103,3390,3544,3096,3765,4144
+ Cost of Goods & Services,2523,2772,2980,3090,3103,3390,3544,3096,3765,4144
Gross Profit,1723,1923,2114,2161,2164,2410,2531,2013,2696,3094
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1327,1426,1534,1607,1648,1823,1910,1667,1954,2119
"+ Selling, General & Admin",1325,1426,1534,1606,1647,1821,1909,1666,1951,2117
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,2,1,0,1,2,2,1,1,2,2
Operating Income (Loss),397,497,580,553,516,587,620,345,743,975
- Non-Operating (Income) Loss,-1,-1,-1,-1,-2,-4,-5,-77,-61,78
"+ Interest Expense, Net",-1,-1,-1,-1,-2,-4,-5,-1,0,-8
+ Interest Expense,0,0,0,0,0,0,0,0,0,0
- Interest Income,1,1,1,1,2,4,5,1,0,8
+ Other Non-Op (Income) Loss,0,0,0,0,0,0,0,-75,-61,86
Pretax Income,398,497,581,554,518,592,626,422,804,897
- Income Tax Expense (Benefit),145,191,223,211,227,157,171,116,205,239
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,252,306,358,343,291,434,454,306,599,658
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,252,306,358,343,291,434,454,306,599,658
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",252,306,358,343,291,434,454,306,599,658
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",252,306,358,343,291,434,454,306,599,658
Basic Weighted Avg Shares,136,134,132,128,124,121,116,113,110,108
"Basic EPS, GAAP",1.85,2.28,2.72,2.68,2.34,3.60,3.93,2.72,5.42,6.08
Basic EPS from Cont Ops,1.85,2.28,2.72,2.68,2.34,3.60,3.93,2.72,5.42,6.08
Diluted Weighted Avg Shares,138,136,133,129,125,122,116,113,112,109
"Diluted EPS, GAAP",1.83,2.26,2.69,2.67,2.33,3.57,3.90,2.70,5.36,6.03
Diluted EPS from Cont Ops,1.83,2.26,2.69,2.67,2.33,3.57,3.90,2.70,5.36,6.03
EBITDA,445,546,634,618,581,653,686,409,797,1024
EBITDA Margin (%),10.49,11.64,12.44,11.76,11.04,11.26,11.29,8.00,12.33,14.15
EBITA,397,546,634,616,580,651,685,408,795,1022
EBIT,397,497,580,553,516,587,620,345,743,975
Gross Margin (%),40.58,40.96,41.50,41.15,41.08,41.55,41.66,39.39,41.72,42.75
Operating Margin (%),9.34,10.58,11.39,10.54,9.79,10.12,10.21,6.76,11.49,13.47
Profit Margin (%),5.94,6.52,7.02,6.54,5.52,7.49,7.48,5.99,9.26,9.09
Sales per Employee,20219,20867,22644,22690,23039,25044,27412,31248,33724,40101
Dividend per Share,0.66,0.73,0.82,0.89,0.97,1.13,1.26,1.38,1.54,1.75
Depreciation Expense,49,1,0,1,2,2,1,1,2,2
