,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,5856,7653,6996,8018,12152,13406,11561,9873,19253,21142
- Cash & Cash Equivalents,2723,2350,2808,1896,3670,3500,3957,5390,7201,6178
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,120
+ Minority/Non Controlling Interest,335,292,264,236,112,84,62,62,58,-26
+ Total Debt,1342,1890,1878,2302,3063,2449,2444,3278,2895,3329
Enterprise Value,4111,6923,5816,7801,9468,9742,7017,173,6690,8502
Total Capital,4313,5207,5564,6372,7516,7567,8382,9826,10588,12268
Total Debt/Capital (%),31.10,36.29,33.76,36.13,40.75,32.36,29.16,33.36,27.34,27.14
Total Debt / EV,0.33,0.27,0.32,0.30,0.32,0.25,0.35,18.94,0.43,0.39
EV/Sales,0.93,1.45,1.15,1.47,1.52,1.36,0.92,0.02,0.69,0.78
EV/EBITDA,61.95,107.90,85.13,107.77,112.54,98.67,62.65,1.45,49.93,58.64
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/Cash Flow to Firm,7.01,15.65,6.98,0,7.89,5.50,19.27,0.04,1.03,0
EV/Free Cash Flow to Firm,6.24,13.78,6.41,0,6.81,5.11,13.97,0.04,1.02,0
Diluted Market Cap,5897,7783,7144,8187,12363,13701,12077,10136,19764,21160
Diluted Enterprise Value,4851,7615,6478,8829,11868,12733,10626,8086,15516,18405
EV per Share,19.64,32.69,27.13,36.74,43.80,44.59,33.94,0.84,32.52,39.52
TTM Sales,4405,4769,5074,5301,6244,7182,7646,7889,9630,10851
TTM EBITDA,66,64,68,72,84,99,112,119,134,145
TTM Operating Income,0,0,0,0,0,0,0,0,0,0
TTM Cash Flow to Firm,586,442,834,-594,1200,1772,364,3916,6507,-156
TTM Free Cash Flow to Firm,659,503,908,-472,1390,1905,502,4040,6581,-65
