,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),14.73,16.96,15.58,14.59,15.56,18.27,18.95,13.23,19.87,18.26
Return on Assets (%),1.66,2.07,2.02,1.82,1.91,2.37,2.71,1.90,2.57,2.11
Return on Capital (%),6.22,9.39,8.50,7.99,7.60,9.69,10.30,7.46,12.59,11.21
Return on Invested Capital (%),0,0,0,0,0,0,0,0,0,0
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
EBITDA Margin (%),1.51,1.35,1.35,1.37,1.35,1.37,1.46,1.51,1.39,1.34
Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Incremental Operating Margin (%),0,0,0,0,0,0,0,0,0,0
Pretax Margin (%),13.48,15.01,15.31,14.67,14.86,18.17,17.98,13.34,18.60,18.63
Profit Margin (%),8.33,10.07,9.90,9.99,10.19,11.93,13.52,10.37,14.57,13.91
Net Income to Common Margin (%),8.33,10.07,9.90,9.99,10.19,11.93,13.52,10.37,14.57,13.87
Effective Tax Rate (%),33.18,37.40,38.11,34.90,31.15,34.79,24.80,22.24,21.66,25.37
Dvd Payout Ratio (%),17.95,21.18,22.46,23.49,19.83,17.91,18.47,25.06,15.54,18.14
Sustainable Growth Rate (%),12.09,13.37,12.08,11.16,12.48,15.00,15.45,9.92,16.78,14.95
