,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,1.65,2.32,2.35,2.16,2.28,2.35,2.54,3.09,3.66,3.76
Days Sales Outstanding,221.59,157.28,155.09,168.71,160.22,155.24,143.54,118.12,99.80,96.96
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover Days,0,0,0,0,0,0,0,0,0,0
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0,0,0
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
