,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),15.67,12.71,6.71,-1.69,2.83,7.34,6.42,-2.04,9.88,8.12
Return on Assets (%),13.49,11.51,6.43,-1.67,2.76,7.13,5.81,-1.60,7.69,7.20
Return on Capital (%),15.01,12.01,6.30,0,2.60,6.84,0,0,6.86,5.79
Return on Invested Capital (%),19.82,17.91,13.17,0,5.45,13.79,0,0,11.73,10.47
Gross Margin (%),57.85,57.45,56.54,54.88,60.68,61.56,59.31,65.02,66.70,64.65
EBITDA Margin (%),18.67,17.66,14.64,11.80,15.39,15.82,11.13,10.69,17.23,15.17
Operating Margin (%),15.21,13.81,10.45,7.18,10.61,11.37,6.75,5.06,13.54,11.75
Incremental Operating Margin (%),-4.83,-47.65,129.30,39.40,-37.96,47.05,197.06,10.97,34.05,-37.76
Pretax Margin (%),14.71,12.95,7.45,-1.58,7.91,9.23,5.30,-1.70,12.13,10.74
Profit Margin (%),10.42,9.21,5.35,-1.49,2.63,6.83,6.24,-2.75,9.65,8.11
Net Income to Common Margin (%),10.42,9.21,5.35,-1.49,2.63,6.83,6.24,-2.75,9.65,8.11
Effective Tax Rate (%),29.20,28.88,28.26,0,66.72,26.03,0,0,20.47,24.45
Dvd Payout Ratio (%),19.20,22.51,42.93,-165.96,99.75,44.26,53.06,-41.12,25.00,37.94
Sustainable Growth Rate (%),12.66,9.85,3.83,-4.49,0.01,4.09,3.01,-2.88,7.41,5.04
