,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,0,0,0,0,493,417,403,336
ST Debt,0,0,0,0,0,0,79,90,94,100
LT Debt,0,0,0,0,0,0,415,327,309,237
Total Debt/EBITDA,0,0,0,0,0,0,1.24,0.93,0.75,0.58
Net Debt/EBITDA,-0.51,-0.42,-0.48,-0.46,-0.31,-0.31,0.50,0.23,0.09,-0.07
Total Debt/EBIT,0,0,0,0,0,0,1.55,1.15,0.92,0.68
Net Debt/EBIT,-0.62,-0.50,-0.56,-0.55,-0.36,-0.37,0.62,0.29,0.11,-0.08
EBITDA to Interest Expense,0,0,0,0,0,0,-57.39,88.71,643.61,221.65
EBITDA-CapEx/Interest Expense,0,0,0,0,0,0,-53.46,84.14,610.84,210.04
EBIT to Interest Expense,0,0,0,0,0,0,-45.89,71.11,530.11,187.03
Interest Expense,0,0,0,0,0,0,-7,5,1,3
Common Equity/Total Assets,59.29,57.25,61.47,62.03,63.26,65.07,46.90,51.00,54.66,59.72
Long-Term Debt/Equity (%),0,0,0,0,0,0,50.83,34.71,28.54,18.69
Long-Term Debt/Capital (%),0,0,0,0,0,0,31.68,24.05,20.80,14.77
Long-Term Debt/Total Assets (%),0,0,0,0,0,0,23.84,17.70,15.60,11.16
Total Debt/Equity (%),0,0,0,0,0,0,60.47,44.31,37.22,26.54
Total Debt/Capital (%),0,0,0,0,0,0,37.68,30.71,27.13,20.97
Total Debt/Total Assets (%),0,0,0,0,0,0,28.36,22.60,20.35,15.85
Net Debt to Equity,-26.97,-23.42,-25.68,-25.11,-16.37,-16.22,24.18,11.10,4.59,-3.19
Net Debt/Capital (%),-36.94,-30.59,-34.55,-33.54,-19.57,-19.36,16.24,8.30,3.60,-2.68
EBITDA,231,261,283,310,350,374,397,451,534,585
EBITDA-CapEx,212,232,244,277,325,347,370,428,507,554
Operating Income (Loss),191,219,241,260,294,310,317,361,440,493
