,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,1867,2263,2372,2813,3151,3404,3433,6692,7473,6905
"+ Cash, Cash Equivalents & STI",435,697,763,1112,1291,1413,1351,4819,4922,4552
+ Cash & Cash Equivalents,423,697,762,1112,1290,1413,1351,4819,4922,4552
+ ST Investments,12,1,2,0,1,0,0,0,0,0
+ Accounts & Notes Receiv,63,73,74,75,88,97,102,115,119,146
"+ Accounts Receivable, Net",63,73,74,75,88,97,102,115,119,146
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,1257,1373,1419,1513,1642,1750,1832,1509,2262,2023
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,1257,1373,1419,1513,1642,1750,1832,1509,2262,2023
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,112,120,116,113,131,144,147,249,169,184
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,2030,2440,2497,2496,2571,2670,5916,6025,6167,6512
"+ Property, Plant & Equip, Net",269,513,346,65,-143,-306,2659,2421,2251,2251
"+ Property, Plant & Equip",1875,2274,2343,2328,2382,2475,5707,5795,5926,6280
- Accumulated Depreciation,1606,1760,1997,2263,2526,2782,3048,3374,3675,4028
+ LT Investments & Receivables,4,3,1,1,1,0,0,0,0,0
+ LT Investments,4,3,1,1,1,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,1757,1924,2150,2430,2713,2976,3256,3604,3916,4260
+ Total Intangible Assets,3,3,0,0,0,0,0,0,0,0
+ Goodwill,3,3,0,0,0,0,0,0,0,0
+ Other Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,1754,1921,2150,2430,2713,2976,3256,3604,3916,4260
Total Assets,3897,4703,4869,5309,5722,6074,9348,12718,13640,13416
+ Payables & Accruals,1393,1659,1603,1753,1841,2009,2137,3304,3584,2980
+ Accounts Payable,779,1001,946,1022,1060,1177,1296,2257,2372,2010
+ Accrued Taxes,18,17,0,16,0,38,14,55,10,52
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,595,641,657,715,782,795,827,992,1202,918
+ ST Debt,0,0,0,0,85,0,564,663,631,656
+ ST Borrowings,0,0,0,0,85,0,0,65,0,0
+ ST Finance Leases,0,0,0,0,0,0,564,598,631,656
+ Other ST Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,0,0,0,0,0,0,0,0
Total Current Liabilities,1393,1659,1603,1753,1926,2009,2702,3967,4215,3636
+ LT Debt,150,398,396,396,312,312,2923,5070,4992,5050
+ LT Borrowings,150,398,396,396,312,312,313,2448,2452,2457
+ LT Finance Leases,0,0,0,0,0,0,2611,2622,2539,2594
+ Other LT Liabilities,346,366,398,412,434,446,364,390,374,441
+ Accrued Liabilities,59,87,130,121,86,124,150,122,138,217
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,288,280,268,291,349,322,214,269,236,224
Total Noncurrent Liabilities,496,765,794,809,746,758,3287,5460,5365,5492
Total Liabilities,1889,2424,2397,2561,2673,2768,5989,9427,9580,9128
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,938,1018,1126,1220,1296,1380,1462,1583,1721,1824
+ Common Stock,2,2,4,4,4,4,4,4,4,3
+ Additional Paid in Capital,936,1016,1122,1216,1292,1376,1458,1580,1718,1820
- Treasury Stock,122,161,230,273,318,373,433,479,536,585
+ Retained Earnings,1191,1422,1575,1801,2071,2299,2331,2186,2875,3050
+ Other Equity,0,0,0,0,0,0,0,0,0,0
Equity Before Minority Interest,2007,2279,2472,2748,3049,3306,3359,3291,4060,4289
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
Total Equity,2007,2279,2472,2748,3049,3306,3359,3291,4060,4289
Total Liabilities & Equity,3897,4703,4869,5309,5722,6074,9348,12718,13640,13416
Shares Outstanding,427,415,402,392,380,368,357,357,352,343
Capital Leases - Total,0,0,0,0,0,0,3175,3220,3170,3250
Net Debt,-273,-298,-366,-715,-893,-1100,-1038,-2306,-2470,-2095
