,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,0.31,0.42,0.48,0.63,0.67,0.70,0.50,1.21,1.17,1.25
Current Ratio,1.34,1.36,1.48,1.61,1.64,1.69,1.27,1.69,1.77,1.90
Quick Ratio,0.36,0.46,0.52,0.68,0.72,0.75,0.54,1.24,1.20,1.29
CFO/Avg Current Liab,0.73,0.90,0.81,0.93,0.91,1.05,0.92,0.67,0.43,0.43
Common Equity/Total Assets,30.61,30.27,32.43,34.00,36.27,37.91,24.97,17.21,21.10,22.76
Long-Term Debt/Equity (%),7.47,17.48,16.02,14.43,10.23,9.45,87.03,154.07,122.94,117.77
Long-Term Debt/Capital (%),11.17,21.86,20.05,18.01,12.62,11.95,50.21,63.99,58.72,57.66
Long-Term Debt/Total Assets (%),3.85,8.47,8.13,7.47,5.45,5.14,31.27,39.86,36.59,37.64
Total Debt/Equity (%),7.47,17.48,16.02,14.43,13.02,9.45,103.83,174.22,138.47,133.06
Total Debt/Capital (%),11.17,21.86,20.05,18.01,16.06,11.95,59.91,72.36,66.14,65.15
Total Debt/Total Assets (%),3.85,8.47,8.13,7.47,6.94,5.14,37.31,45.08,41.22,42.53
CFO/Total Liabilities,54.09,56.64,55.33,60.86,62.90,74.66,36.26,23.82,18.15,18.51
CFO/CapEx,1.86,2.12,3.61,5.23,4.53,4.99,3.91,5.54,3.12,2.58
Altman's Z-Score,8.95,8.68,9.86,10.26,11.52,11.75,7.00,4.06,4.64,5.17
