,2019,2020,2021,2022
Total Debt,12861,13426,14523,15171
ST Debt,769,260,262,286
LT Debt,12092,13166,14260,14885
Total Debt/EBITDA,9.68,9.51,9.41,8.91
Net Debt/EBITDA,7.70,7.64,7.73,7.47
Total Debt/EBIT,20.36,19.45,17.22,15.24
Net Debt/EBIT,16.19,15.63,14.16,12.78
EBITDA to Interest Expense,3.38,3.60,3.86,4.26
EBITDA-CapEx/Interest Expense,2.99,3.27,3.52,3.72
EBIT to Interest Expense,1.61,1.76,2.11,2.49
Interest Expense,393,393,400,400
Common Equity/Total Assets,-56.96,-72.10,-73.48,-70.68
Long-Term Debt/Equity (%),0,0,0,0
Long-Term Debt/Capital (%),165.25,192.53,194.35,192.76
Long-Term Debt/Total Assets (%),123.89,143.77,145.49,140.62
Total Debt/Equity (%),-352.26,-279.18,-275.77,-289.27
Total Debt/Capital (%),175.76,196.33,197.93,196.47
Total Debt/Total Assets (%),131.77,146.61,148.16,143.33
Net Debt to Equity,-280.09,-224.30,-226.64,-242.62
Net Debt/Capital (%),141.85,165.20,171.24,167.91
EBITDA,1329,1412,1543,1703
EBITDA-CapEx,1175,1284,1410,1489
Operating Income (Loss),632,690,843,995
