,2019,2020,2021,2022
Cash Ratio,0.10,0.50,0.60,0.21
Current Ratio,0.32,0.77,1.00,0.69
Quick Ratio,0.25,0.68,0.84,0.59
CFO/Avg Current Liab,0,1.35,1.93,2.01
Common Equity/Total Assets,-56.96,-72.10,-73.48,-70.68
Long-Term Debt/Equity (%),0,0,0,0
Long-Term Debt/Capital (%),165.25,192.53,194.35,192.76
Long-Term Debt/Total Assets (%),123.89,143.77,145.49,140.62
Total Debt/Equity (%),-352.26,-279.18,-275.77,-289.27
Total Debt/Capital (%),175.76,196.33,197.93,196.47
Total Debt/Total Assets (%),131.77,146.61,148.16,143.33
CFO/Total Liabilities,7.34,8.06,7.90,8.32
CFO/CapEx,6.39,8.76,8.90,6.14
Altman's Z-Score,0.46,0.49,0.97,0.53
