,2019,2020,2021,2022
Shares Outstanding,112,110,109,108
Diluted Weighted Avg Shares,115,113,111,109
Basic Weighted Avg Shares,113,112,109,108
Revenue per Share,17.86,18.68,21.12,24.39
EBITDA per Share,11.78,12.66,14.12,15.77
Operating Income per Share,5.60,6.19,7.71,9.22
"Basic EPS, GAAP",1.30,0.22,2.17,4.27
Basic EPS from Cont Ops,1.31,0.22,2.17,4.26
"Diluted EPS, GAAP",1.28,0.21,2.14,4.22
Diluted EPS from Cont Ops,1.28,0.21,2.14,4.20
Dividend per Share,0.74,1.86,2.32,2.84
Cash Flow per Share,8.73,10.10,10.88,12.21
Free Cash Flow per Basic Share,7.36,8.94,9.66,10.22
Cash & Equivalents per Share,0.97,2.81,3.38,1.34
Book Value per Share,-49.74,-60.13,-66.10,-69.27
Tangible Book Value per Share,-65.11,-72.53,-74.06,-74.27
