,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,0.25,2.51,4.53
Return on Capital (%),0,0,8.66,10.79
Return on Invested Capital (%),0,0,8.88,9.07
Gross Margin (%),75.53,77.12,76.37,74.61
EBITDA Margin (%),65.96,67.80,66.84,64.67
Operating Margin (%),31.36,33.14,36.52,37.80
Incremental Operating Margin (%),0,85.49,67.70,46.89
Pretax Margin (%),9.28,-0.85,10.94,19.97
Profit Margin (%),7.30,1.16,10.29,17.52
Net Income to Common Margin (%),7.30,1.16,10.29,17.52
Effective Tax Rate (%),21.19,0,5.92,12.56
Dvd Payout Ratio (%),56.50,865.73,106.71,66.95
Sustainable Growth Rate (%),0,0,0,0
