,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0.38,0.39,0.37,0.42,0.44,0.46,0.48,0.27,0.23,0.26
Days Sales Outstanding,956.33,924.20,978.55,876.06,833.96,794.29,756.61,1373.69,1566.98,1423.00
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover Days,0,0,0,0,0,0,0,0,0,0
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0,0,0
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
