,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,3159,2567,2659,3627,4466,4344,4650,4591,5054,5908
"+ Cash, Cash Equivalents & STI",745,41,206,890,204,156,162,227,166,199
+ Cash & Cash Equivalents,745,41,206,890,204,156,162,227,166,199
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,1098,1131,1114,1231,2105,2019,2089,2078,2352,2564
"+ Accounts Receivable, Net",1098,1131,1114,1231,2105,2019,2089,2078,2352,2564
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,971,1034,1019,1068,1801,1815,1890,1804,1927,2627
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,192,192,178,170,386,389,380,377,548,669
+ Finished Goods,779,842,841,899,1415,1426,1510,1428,1379,1958
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,345,362,320,438,356,355,509,483,608,519
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,3224,3139,3133,3125,15493,14790,15865,15810,15613,16686
"+ Property, Plant & Equip, Net",1021,1021,1042,1096,1877,1777,974,881,891,1092
"+ Property, Plant & Equip",2741,2835,2923,3101,3967,4040,3521,3596,3688,4074
- Accumulated Depreciation,1720,1814,1882,2005,2090,2263,2547,2714,2797,2982
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2202,2118,2091,2029,13615,13013,14891,14929,14722,15594
+ Total Intangible Assets,1492,1447,1399,1382,12817,12158,11739,11520,11136,11585
+ Goodwill,1179,1158,1143,1127,6814,6957,7005,7049,7135,7583
+ Other Intangible Assets,313,289,255,255,6002,5202,4735,4471,4002,4002
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,710,671,692,647,799,855,3152,3409,3586,4009
Total Assets,6383,5706,5792,6753,19958,19134,20514,20402,20667,22594
+ Payables & Accruals,1591,1638,1761,1690,2844,1799,1894,2118,4286,4557
+ Accounts Payable,998,1042,1158,1035,1792,1799,1894,2118,2403,2437
+ Accrued Taxes,80,87,81,77,80,81,86,184,877,982
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,513,509,522,579,973,-81,-86,-183,1006,1138
+ ST Debt,599,683,43,741,635,636,1006,413,1434,1404
+ ST Borrowings,599,683,43,741,635,636,635,25,1024,979
+ ST Finance Leases,0,0,0,0,0,0,372,387,410,425
+ Other ST Liabilities,338,360,338,398,508,1863,1640,2064,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,338,360,338,398,508,1863,1640,2064,0,0
Total Current Liabilities,2529,2681,2142,2829,3987,4298,4540,4594,5720,5961
+ LT Debt,1122,1123,1920,1211,9886,8708,9421,9701,10062,11104
+ LT Borrowings,1122,1123,1920,1211,9886,8708,8051,8267,8591,9591
+ LT Finance Leases,0,0,0,0,0,0,1371,1434,1471,1513
+ Other LT Liabilities,957,906,862,834,2393,2398,2430,2495,2448,2427
+ Accrued Liabilities,0,0,139,74,1434,1131,970,846,768,682
+ Pension Liabilities,269,278,249,250,275,258,263,276,259,139
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,688,628,475,509,684,1009,1197,1374,1421,1606
Total Noncurrent Liabilities,2079,2029,2782,2045,12279,11106,11851,12196,12510,13531
Total Liabilities,4608,4710,4924,4874,16266,15404,16391,16791,18230,19492
+ Preferred Equity and Hybrid Capital,40,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,1961,2194,2446,2605,2841,3015,3272,90,91,91
+ Common Stock,113,115,116,117,118,118,119,90,91,91
+ Additional Paid in Capital,1848,2080,2330,2489,2723,2896,3153,0,0,0
- Treasury Stock,1639,3150,4220,4236,4266,4901,5837,97,2870,3776
+ Retained Earnings,1774,2425,3229,4049,5503,6247,7367,844,2122,3523
+ Other Equity,-321,-472,-587,-540,-385,-630,-679,-718,-698,-701
Equity Before Minority Interest,1775,996,868,1878,3692,3731,4123,3611,2437,3102
