,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,10186,11130,11339,11856,14984,17534,17901,18362,19945,22149
+ Sales & Services Revenue,10186,11130,11339,11856,14984,17534,17901,18362,19945,22149
- Cost of Revenue,5569,5965,5780,5933,8203,10116,9865,9679,11402,12824
+ Cost of Goods & Services,5569,5965,5780,5933,8203,10116,9865,9679,11402,12824
Gross Profit,4617,5164,5559,5922,6781,7419,8036,8683,8543,9325
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,3468,3823,3914,4159,4992,5352,5588,5791,5882,6332
"+ Selling, General & Admin",3468,3823,3914,4159,4785,5034,5275,5478,5573,6015
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,207,318,313,313,310,317
Operating Income (Loss),1149,1342,1646,1763,1789,2067,2448,2891,2661,2994
- Non-Operating (Income) Loss,63,83,97,168,261,707,467,372,412,420
"+ Interest Expense, Net",59,61,60,149,255,361,323,333,330,383
+ Interest Expense,63,64,62,154,263,367,349,337,335,391
- Interest Income,3,3,1,5,9,5,26,4,5,8
+ Other Non-Op (Income) Loss,3,22,36,18,6,346,143,39,82,38
Pretax Income,1086,1258,1549,1595,1528,1360,1982,2519,2249,2573
- Income Tax Expense (Benefit),333,392,495,463,-286,251,441,489,384,553
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,753,866,1054,1133,1814,1109,1541,2030,1864,2020
- Net Extraordinary Losses (Gains),0,0,0,0,42,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,-42,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,83,0,0,0,0,0
Income (Loss) Incl. MI,753,866,1054,1133,1772,1109,1541,2030,1864,2020
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",753,866,1054,1133,1772,1109,1541,2030,1864,2020
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",753,866,1054,1133,1772,1109,1541,2030,1864,2020
Basic Weighted Avg Shares,303,289,277,276,279,279,275,271,263,258
"Basic EPS, GAAP",2.49,3.00,3.81,4.11,6.36,3.97,5.60,7.48,7.10,7.83
Basic EPS from Cont Ops,2.49,3.00,3.81,4.11,6.51,3.97,5.60,7.48,7.10,7.83
Diluted Weighted Avg Shares,309,294,282,283,285,285,280,276,267,262
"Diluted EPS, GAAP",2.43,2.94,3.74,4.00,6.22,3.89,5.50,7.36,6.98,7.72
Diluted EPS from Cont Ops,2.43,2.94,3.74,4.00,6.37,3.89,5.50,7.36,6.98,7.72
EBITDA,1337,1540,1844,1961,2281,2663,3023,3473,3233,3575
EBITDA Margin (%),13.12,13.84,16.26,16.54,15.22,15.19,16.89,18.91,16.21,16.14
EBITA,1149,1342,1646,1763,2074,2345,2711,3159,2924,3258
EBIT,1149,1342,1646,1763,1789,2067,2448,2891,2661,2994
Gross Margin (%),45.32,46.40,49.03,49.95,45.26,42.31,44.89,47.29,42.83,42.10
Operating Margin (%),11.28,12.05,14.51,14.87,11.94,11.79,13.68,15.75,13.34,13.52
Profit Margin (%),7.39,7.78,9.29,9.55,11.83,6.32,8.61,11.06,9.35,9.12
Sales per Employee,270654,280525,278566,278628,284349,328558,292923,300859,323639,344109
Dividend per Share,0.68,0.75,0.90,1.13,1.14,1.16,1.53,1.80,2.24,2.40
Depreciation Expense,188,199,199,198,207,318,313,313,310,317
