,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,300,284,277,279,282,279,276,269,261,259
Diluted Weighted Avg Shares,309,294,282,283,285,285,280,276,267,262
Basic Weighted Avg Shares,303,289,277,276,279,279,275,271,263,258
Revenue per Share,33.65,38.57,41.00,43.03,53.76,62.85,65.00,67.69,75.98,85.85
EBITDA per Share,4.42,5.34,6.67,7.12,8.18,9.55,10.98,12.80,12.32,13.86
Operating Income per Share,3.80,4.65,5.95,6.40,6.42,7.41,8.89,10.66,10.14,11.60
"Basic EPS, GAAP",2.49,3.00,3.81,4.11,6.36,3.97,5.60,7.48,7.10,7.83
Basic EPS from Cont Ops,2.49,3.00,3.81,4.11,6.51,3.97,5.60,7.48,7.10,7.83
"Diluted EPS, GAAP",2.43,2.94,3.74,4.00,6.22,3.89,5.50,7.36,6.98,7.72
Diluted EPS from Cont Ops,2.43,2.94,3.74,4.00,6.37,3.89,5.50,7.36,6.98,7.72
Dividend per Share,0.68,0.75,0.90,1.13,1.14,1.16,1.53,1.80,2.24,2.40
Cash Flow per Share,3.58,3.75,5.23,4.75,6.76,6.97,8.43,12.56,8.55,7.44
Free Cash Flow per Basic Share,3.03,3.05,4.39,3.88,5.96,6.07,7.23,11.45,7.13,4.94
Cash & Equivalents per Share,2.48,0.14,0.74,3.19,0.73,0.56,0.59,0.84,0.63,0.77
Book Value per Share,6.28,8.94,12.09,14.93,19.95,22.78,27.08,3.48,8.47,13.96
Tangible Book Value per Share,0.81,-1.59,-1.92,1.78,-32.40,-30.17,-27.55,-29.44,-33.31,-32.77
