,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,45266,48580,35475,27810,30440,32815,32917,23601,22929,28091
+ Sales & Services Revenue,45266,48580,35475,27810,30440,32815,32917,23601,22929,28091
- Cost of Revenue,35331,37398,28321,24110,26543,28478,28720,21000,19271,22930
+ Cost of Goods & Services,35331,37398,28321,24110,26543,28478,28720,21000,19271,22930
Gross Profit,9935,11182,7154,3700,3897,4337,4197,2601,3658,5161
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1590,1692,1588,1415,1219,1146,1191,945,893,1010
"+ Selling, General & Admin",416,475,494,403,432,444,474,365,339,376
+ Research & Development,1174,1217,1094,1012,787,702,717,580,554,634
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),8345,9490,5566,2285,2678,3191,3006,1656,2765,4151
- Non-Operating (Income) Loss,-346,1851,2685,4190,3861,567,13424,12954,391,-120
"+ Interest Expense, Net",360,78,110,370,342,426,523,400,391,-120
+ Interest Expense,391,369,346,570,566,575,609,563,539,490
- Interest Income,31,291,236,200,224,149,86,163,148,610
+ Other Non-Op (Income) Loss,-706,1773,2575,3820,3519,141,12901,12554,0,0
Pretax Income,8691,7639,2881,-1905,-1183,2624,-10418,-11298,2374,4271
- Income Tax Expense (Benefit),1848,1928,746,-278,330,447,-311,-812,446,779
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,6843,5711,2135,-1627,-1513,2177,-10107,-10486,1928,3492
- Net Extraordinary Losses (Gains),153,341,126,120,-16,78,60,64,94,102
+ Discontinued Operations,-69,-205,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,222,546,126,120,-16,78,60,64,94,102
Income (Loss) Incl. MI,6690,5370,2009,-1747,-1497,2099,-10167,-10550,1834,3390
- Minority Interest,-42,-68,-63,-60,8,-39,-30,-32,-47,-51
"Net Income, GAAP",6732,5438,2072,-1687,-1505,2138,-10137,-10518,1881,3441
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",6732,5438,2072,-1687,-1505,2138,-10137,-10518,1881,3441
Basic Weighted Avg Shares,1323,1295,1256,1357,1388,1385,1385,1390,1400,1416
"Basic EPS, GAAP",5.09,4.20,1.65,-1.24,-1.08,1.54,-7.32,-7.57,1.34,2.43
Basic EPS from Cont Ops,5.17,4.41,1.70,-1.20,-1.09,1.57,-7.30,-7.54,1.38,2.47
Diluted Weighted Avg Shares,1333,1308,1271,1357,1388,1393,1385,1390,1427,1437
"Diluted EPS, GAAP",5.05,4.16,1.63,-1.24,-1.08,1.53,-7.32,-7.57,1.32,2.39
Diluted EPS from Cont Ops,5.13,4.37,1.68,-1.20,-1.09,1.56,-7.30,-7.54,1.35,2.43
EBITDA,12011,13584,9644,6379,6515,6747,6595,4222,4885,5820
EBITDA Margin (%),26.53,27.96,27.19,22.94,21.40,20.56,20.04,17.89,21.30,20.72
EBITA,8345,9490,5566,2285,2678,3191,3006,1656,2765,3673
EBIT,8345,9490,5566,2285,2678,3191,3006,1656,2765,4151
Gross Margin (%),21.95,23.02,20.17,13.30,12.80,13.22,12.75,11.02,15.95,18.37
Operating Margin (%),18.44,19.53,15.69,8.22,8.80,9.72,9.13,7.02,12.06,14.78
Profit Margin (%),14.87,11.19,5.84,-6.07,-4.94,6.52,-30.80,-44.57,8.20,12.25
Sales per Employee,587870,630909,373421,292737,320421,328150,313495,274430,249228,283747
Dividend per Share,1.22,1.52,1.93,1.95,2.00,2.00,2.00,1.25,0.50,0.60
Depreciation Expense,3666,4094,4078,4094,3837,3556,3589,2566,2120,2147
