,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,6320,8031,10015,9925,9881,8022,9227,9249,11447,12111
- Cash & Cash Equivalents,218,133,93,78,92,141,185,923,780,757
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,17,18,18,18,18,20,22,22,22,22
+ Total Debt,972,919,880,1010,1187,1132,1187,1485,1235,1246
Enterprise Value,7091,8835,10820,10876,10994,9033,10252,9832,11924,12621
Total Capital,3381,3641,3952,4481,5045,5477,6056,6731,7024,7632
Total Debt/Capital (%),28.75,25.25,22.27,22.55,23.52,20.67,19.61,22.06,17.58,16.32
Total Debt / EV,0.14,0.10,0.08,0.09,0.11,0.13,0.12,0.15,0.10,0.10
EV/Sales,2.32,2.70,3.23,3.17,2.98,2.41,2.75,2.74,2.80,2.81
EV/EBITDA,10.70,11.56,12.77,11.57,11.28,8.60,9.72,10.06,9.71,9.65
EV/EBIT,12.10,12.90,14.15,12.73,12.47,9.45,10.65,11.17,10.61,10.45
EV/Cash Flow to Firm,16.46,20.35,20.33,18.02,17.05,11.25,14.39,9.36,11.83,17.73
EV/Free Cash Flow to Firm,14.14,17.17,17.66,16.04,15.12,10.10,12.63,8.81,11.06,15.86
Diluted Market Cap,6427,8168,10190,10173,10214,8266,9438,9368,11784,12384
Diluted Enterprise Value,7198,8972,10995,11124,11327,9277,10463,9951,12260,12895
EV per Share,122.02,152.03,186.28,187.67,193.94,162.43,187.59,181.72,223.17,238.13
TTM Sales,3057,3278,3353,3430,3687,3741,3730,3593,4252,4493
TTM EBITDA,663,764,847,940,975,1050,1055,977,1228,1307
TTM Operating Income,586,685,765,854,882,956,962,881,1124,1207
TTM Cash Flow to Firm,431,434,532,604,645,803,712,1050,1008,712
TTM Free Cash Flow to Firm,502,515,613,678,727,894,812,1116,1078,796
