,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,105,75,205,205,144,469,138,663,667,656
ST Debt,30,30,205,205,10,344,18,100,155,54
LT Debt,75,45,0,0,134,126,120,563,512,602
Total Debt/EBITDA,0.24,0.17,0.42,0.38,0.25,0.81,0.18,0.77,0.69,0.47
Net Debt/EBITDA,-2.11,-2.06,-1.28,-1.44,-1.58,-0.44,-0.77,-1.28,-1.37,-1.00
Total Debt/EBIT,0.43,0.30,0.73,0.63,0.37,1.26,0.24,1.01,0.87,0.56
Net Debt/EBIT,-3.72,-3.66,-2.24,-2.36,-2.35,-0.68,-1.04,-1.69,-1.73,-1.19
EBITDA to Interest Expense,255.84,233.00,175.33,141.62,78.54,37.32,65.97,168.52,288.82,825.97
EBITDA-CapEx/Interest Expense,217.24,178.51,144.42,123.88,68.91,30.97,48.97,138.42,260.95,745.53
EBIT to Interest Expense,145.34,131.25,100.05,86.72,52.60,23.91,48.67,127.67,228.29,691.46
Interest Expense,2,2,3,4,7,16,12,5,3,2
Common Equity/Total Assets,30.43,32.52,34.23,37.19,39.76,41.41,49.42,47.28,52.00,58.78
Long-Term Debt/Equity (%),2.69,1.47,0,0,4.09,3.60,2.94,11.47,9.66,10.83
Long-Term Debt/Capital (%),5.24,2.76,0,0,5.85,4.16,3.63,12.61,9.81,9.66
Long-Term Debt/Total Assets (%),1.72,0.94,0,0,2.48,2.04,1.87,7.01,5.85,6.39
Total Debt/Equity (%),3.77,2.45,6.54,6.42,4.39,13.47,3.37,13.51,12.58,11.81
Total Debt/Capital (%),7.34,4.61,10.61,9.52,6.28,15.54,4.16,14.86,12.77,10.53
Total Debt/Total Assets (%),2.41,1.57,4.06,3.91,2.67,7.64,2.15,8.26,7.62,6.97
Net Debt to Equity,-32.90,-29.80,-20.14,-24.15,-27.57,-7.28,-14.45,-22.55,-25.15,-25.13
Net Debt/Capital (%),-224.34,-141.78,-57.59,-65.53,-72.63,-11.05,-22.90,-34.30,-35.17,-28.99
EBITDA,434,442,493,534,574,582,769,866,972,1403
EBITDA-CapEx,368,338,406,467,503,483,571,711,878,1266
Operating Income (Loss),246,249,282,327,384,373,567,656,768,1174
