,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,36379,45206,43091,48708,48456,45435,66697,64032,72462,78480
- Cash & Cash Equivalents,659,710,1404,1975,2130,1396,1975,1065,1798,1917
+ Preferred Equity and Hybrid Capital,1131,1131,727,727,324,291,291,291,291,0
+ Minority/Non Controlling Interest,756,221,781,1245,1361,4316,4254,4262,4402,4124
+ Total Debt,23295,24977,28738,47457,50793,46849,48686,51041,55470,59135
Enterprise Value,60902,70825,71933,96162,98804,95495,117953,118561,130827,139822
Total Capital,39153,40477,44828,64737,66401,65326,69365,72173,76371,80214
Total Debt/Capital (%),59.50,61.71,64.11,73.31,76.49,71.72,70.19,70.72,72.63,73.72
Total Debt / EV,0.38,0.35,0.40,0.49,0.51,0.49,0.41,0.43,0.42,0.42
EV/Sales,3.56,3.83,4.10,4.83,4.29,4.06,5.51,5.82,5.66,4.78
EV/EBITDA,10.99,11.87,10.77,12.73,16.45,12.47,13.61,13.59,17.47,14.52
EV/EBIT,18.77,19.28,16.80,20.77,38.73,23.23,22.11,24.60,37.23,25.13
EV/Cash Flow to Firm,9.16,11.10,10.52,16.43,12.56,11.25,16.75,14.26,16.74,17.60
EV/Free Cash Flow to Firm,5.03,5.73,5.05,7.31,6.46,5.79,8.08,7.53,8.69,8.81
Diluted Market Cap,36379,45206,43091,48708,48456,45435,66697,64125,73008,77193
Diluted Enterprise Value,60902,70825,71933,96162,98804,95495,117953,118654,131373,138535
EV per Share,68.64,77.98,78.91,97.11,98.06,92.37,112.02,112.22,123.42,127.23
TTM Sales,17087,18499,17527,19896,23031,23495,21419,20375,23113,29279
TTM EBITDA,5542,5966,6677,7552,6008,7659,8666,8725,7487,9628
TTM Operating Income,3244,3673,4282,4629,2551,4110,5335,4820,3514,5564
TTM Cash Flow to Firm,6648,6382,6838,5851,7864,8486,7040,8312,7816,7943
TTM Free Cash Flow to Firm,12111,12359,14231,13161,15287,16487,14595,15753,15056,15866
