,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,22.13,22.83,18.21,19.90,57.55,20.41,14.07,20.56,30.31,21.78
Price/Earnings Average,23.59,20.34,17.35,20.31,59.53,20.98,12.37,19.70,27.93,21.65
Price/Earnings High,26.31,23.52,20.47,22.10,64.03,22.96,14.28,24.12,30.34,24.58
Price/Earnings Low,21.60,18.47,15.94,18.61,55.90,19.68,9.61,14.23,25.14,18.52
Price/Book Value,2.60,3.20,2.96,3.18,3.48,3.28,4.13,3.86,4.47,4.63
Price/Book Value Average,2.78,2.85,2.82,3.25,3.60,3.37,3.63,3.70,4.12,4.60
Price/Book Value High,3.10,3.29,3.32,3.53,3.87,3.68,4.19,4.53,4.48,5.22
Price/Book Value Low,2.54,2.59,2.59,2.98,3.38,3.16,2.82,2.67,3.71,3.94
Price/Tangible Book Value,1.91,2.24,2.05,2.59,2.64,1.97,2.57,2.42,2.73,2.71
Price/Tangible Book Value Average,2.04,2.00,1.95,2.65,2.73,2.02,2.26,2.32,2.52,2.69
Price/Tangible Book Value High,2.28,2.31,2.30,2.88,2.93,2.21,2.61,2.84,2.73,3.06
Price/Tangible Book Value Low,1.87,1.81,1.79,2.43,2.56,1.90,1.76,1.67,2.26,2.30
Price/Sales,2.13,2.44,2.46,2.45,2.10,1.93,3.11,3.15,3.14,2.62
Price/Sales Average,2.27,2.18,2.34,2.50,2.18,1.99,2.74,3.02,2.89,2.61
Price/Sales High,2.53,2.52,2.76,2.72,2.34,2.17,3.16,3.69,3.14,2.96
Price/Sales Low,2.08,1.98,2.15,2.29,2.04,1.86,2.13,2.18,2.60,2.23
Price/Cash Flow,5.97,7.77,6.87,9.95,7.58,6.54,11.54,9.58,11.76,12.18
Price/Cash Flow Average,6.36,6.92,6.54,10.16,7.84,6.73,10.14,9.18,10.84,12.10
Price/Cash Flow High,7.09,8.01,7.72,11.06,8.43,7.36,11.70,11.23,11.77,13.74
Price/Cash Flow Low,5.83,6.29,6.02,9.31,7.36,6.31,7.88,6.63,9.75,10.36
Price/Free Cash Flow,3.15,3.83,3.15,3.99,3.51,3.04,5.00,4.54,5.44,5.43
Price/Free Cash Flow Average,3.35,3.41,3.00,4.07,3.63,3.13,4.40,4.35,5.02,5.39
Price/Free Cash Flow High,3.74,3.95,3.55,4.43,3.90,3.42,5.07,5.32,5.45,6.12
Price/Free Cash Flow Low,3.07,3.10,2.76,3.73,3.41,2.93,3.42,3.14,4.52,4.61
EV/Sales,3.56,3.83,4.10,4.83,4.29,4.06,5.51,5.82,5.66,4.78
EV/Sales Average,3.70,3.56,3.99,4.88,4.36,4.12,5.13,5.69,5.41,4.76
EV/Sales High,3.97,3.90,4.41,5.10,4.53,4.31,5.55,6.36,5.66,5.12
EV/Sales Low,3.51,3.36,3.80,4.67,4.23,4.00,4.52,4.85,5.13,4.37
EV/EBITDA,10.99,11.87,10.77,12.73,16.45,12.47,13.61,13.59,17.47,14.52
EV/EBITDA Average,11.42,11.04,10.47,12.87,16.72,12.63,12.68,13.28,16.72,14.47
EV/EBITDA High,12.23,12.10,11.58,13.45,17.35,13.21,13.72,14.86,17.48,15.57
EV/EBITDA Low,10.83,10.43,9.97,12.32,16.21,12.26,11.17,11.33,15.82,13.30
EV/EBIT,18.77,19.28,16.80,20.77,38.73,23.23,22.11,24.60,37.23,25.13
EV/EBIT Average,19.51,17.94,16.32,20.99,39.39,23.55,20.60,24.04,35.61,25.04
EV/EBIT High,20.89,19.66,18.05,21.94,40.87,24.61,22.29,26.90,37.25,26.94
EV/EBIT Low,18.51,16.93,15.55,20.09,38.19,22.84,18.15,20.51,33.71,23.02
Last Price,41.00,49.77,47.27,49.19,48.09,43.95,63.34,60.61,68.36,71.41
High Price,48.74,51.28,53.16,54.64,53.51,49.43,64.26,71.10,68.43,80.57
Low Price,40.03,40.27,41.40,46.00,46.71,42.38,43.26,41.96,56.69,60.71
Enterprise Value,60902,70825,71933,96162,98804,95495,117953,118561,130827,139822
Enterprise Value Average,63298,65884,69901,97184,100474,96770,109883,115891,125146,139330
Enterprise Value High,67770,72197,77303,101559,104265,101160,118922,129644,130901,149888
Enterprise Value Low,60042,62196,66582,93003,97413,93872,96809,98858,118456,128062
