,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,887,908,912,990,1008,1034,1053,1056,1060,1099
Diluted Weighted Avg Shares,887,908,912,990,1008,1034,1053,1058,1068,1081
Basic Weighted Avg Shares,887,908,912,990,1008,1034,1053,1058,1061,1075
Revenue per Share,19.26,20.37,19.23,20.09,22.86,22.73,20.34,19.26,21.78,27.24
EBITDA per Share,6.25,6.57,7.32,7.63,5.96,7.41,8.23,8.25,7.06,8.96
Operating Income per Share,3.66,4.04,4.70,4.67,2.53,3.98,5.07,4.56,3.31,5.18
"Basic EPS, GAAP",1.85,2.18,2.60,2.47,0.84,2.15,4.50,2.95,2.26,3.28
Basic EPS from Cont Ops,1.93,2.25,2.67,2.55,0.92,2.22,4.51,2.93,2.18,3.19
"Diluted EPS, GAAP",1.85,2.18,2.60,2.47,0.84,2.15,4.50,2.95,2.24,3.26
Diluted EPS from Cont Ops,1.93,2.25,2.67,2.55,0.92,2.22,4.51,2.93,2.16,3.17
Dividend per Share,2.06,2.13,2.21,2.12,2.28,2.35,2.44,2.54,2.62,2.70
Cash Flow per Share,6.87,6.40,6.88,4.94,6.35,6.72,5.49,6.33,5.81,5.86
Free Cash Flow per Basic Share,0.71,-0.18,-1.23,-2.44,-1.02,-1.02,-1.68,-0.70,-1.01,-1.51
Cash & Equivalents per Share,0.74,0.78,1.54,1.99,2.11,1.35,1.88,1.01,1.70,1.74
Book Value per Share,15.75,15.58,16.00,15.46,13.82,13.42,15.32,15.69,15.29,15.43
Tangible Book Value per Share,21.42,22.21,23.10,18.97,18.25,22.36,24.64,25.05,25.05,26.36
