,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,17.19,17.48,16.32,12.26,10.01,9.51,9.38,9.45,11.34,14.85
Days Sales Outstanding,21.23,20.89,22.37,29.77,36.46,38.37,38.93,38.61,32.18,24.58
Inventory Turnover,3.84,5.17,5.05,4.77,4.75,5.51,4.93,4.30,5.39,7.34
Days Inventory Outstanding,95.02,70.58,72.23,76.60,76.77,66.20,74.01,84.93,67.72,49.75
Accounts Payable Turnover,6.74,7.21,5.61,5.11,4.31,4.18,3.93,3.94,5.19,6.60
Accounts Payable Turnover Days,54.18,50.62,65.08,71.48,84.78,87.33,92.80,92.53,70.28,55.33
Cash Conversion Cycle,62.07,40.85,29.51,34.90,28.45,17.24,20.14,31.01,29.61,19.00
Inventory to Cash Days,-73.79,-49.70,-49.86,-46.83,-40.31,-27.83,-35.08,-46.31,-35.54,-25.17
Inventories,2298,1969,1929,2782,2627,2394,2388,2488,2355,2677
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,2298,1969,1929,2782,2627,2394,2388,2488,2355,2677
