,2019,2020,2021,2022
Total Debt,26007,27862,26328,25458
ST Debt,1327,623,500,0
LT Debt,24680,27239,25828,25458
Total Debt/EBITDA,6.05,8.37,7.04,6.57
Net Debt/EBITDA,5.77,7.92,6.76,6.28
Total Debt/EBIT,8.94,14.13,10.91,9.85
Net Debt/EBIT,8.54,13.36,10.48,9.42
EBITDA to Interest Expense,5.45,4.24,4.70,5.09
EBITDA-CapEx/Interest Expense,4.34,3.62,4.04,4.24
EBIT to Interest Expense,3.68,2.51,3.03,3.39
Interest Expense,789,784,796,761
Common Equity/Total Assets,-17.23,-17.54,-17.24,-17.95
Long-Term Debt/Equity (%),788.42,744.59,586.90,665.77
Long-Term Debt/Capital (%),116.01,121.49,119.66,125.67
Long-Term Debt/Total Assets (%),79.02,78.30,76.47,77.12
Total Debt/Equity (%),830.81,761.62,598.26,665.77
Total Debt/Capital (%),122.25,124.27,121.97,125.67
Total Debt/Total Assets (%),83.27,80.09,77.95,77.12
Net Debt to Equity,792.92,719.88,574.61,636.49
Net Debt/Capital (%),120.47,123.01,120.12,123.95
EBITDA,4302,3327,3739,3876
EBITDA-CapEx,3426,2843,3211,3226
Operating Income (Loss),2908,1972,2413,2584
