,2019,2020,2021,2022
Shares Outstanding,307,329,329,327
Diluted Weighted Avg Shares,308,309,329,328
Basic Weighted Avg Shares,308,309,329,328
Revenue per Share,18.69,14.92,15.57,16.14
EBITDA per Share,13.97,10.78,11.38,11.82
Operating Income per Share,9.44,6.39,7.34,7.88
"Basic EPS, GAAP",6.81,3.59,6.84,6.52
Basic EPS from Cont Ops,7.87,4.14,7.82,7.48
"Diluted EPS, GAAP",6.81,3.59,6.84,6.52
Diluted EPS from Cont Ops,7.87,4.14,7.82,7.48
Dividend per Share,9.58,5.39,8.19,7.91
Cash Flow per Share,12.37,7.54,11.07,11.49
Free Cash Flow per Basic Share,9.52,5.97,9.46,9.51
Cash & Equivalents per Share,2.18,3.08,1.62,1.90
Book Value per Share,-17.53,-18.58,-17.72,-18.13
Tangible Book Value per Share,9.75,10.84,13.10,11.45
