,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,3.37,6.56,6.41
Return on Capital (%),0,0,12.18,12.25
Return on Invested Capital (%),0,0,7.31,8.33
Gross Margin (%),82.25,80.75,81.02,81.08
EBITDA Margin (%),74.75,72.20,73.07,73.24
Operating Margin (%),50.53,42.80,47.16,48.83
Incremental Operating Margin (%),0,81.56,86.67,97.54
Pretax Margin (%),42.63,27.62,53.27,47.92
Profit Margin (%),36.52,24.15,43.97,40.43
Net Income to Common Margin (%),36.46,24.07,43.90,40.37
Effective Tax Rate (%),1.23,0,5.77,3.29
Dvd Payout Ratio (%),107.46,115.44,93.17,93.74
Sustainable Growth Rate (%),0,0,0,0
