,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,271,272,266,258,254,249,244,241,241,329
Diluted Weighted Avg Shares,280,272,275,265,259,253,247,242,242,319
Basic Weighted Avg Shares,275,272,272,263,256,251,245,241,241,317
Revenue per Share,17.76,18.60,19.56,21.54,23.66,24.94,27.30,30.88,34.46,35.28
EBITDA per Share,5.62,0.91,7.64,9.32,10.89,11.94,13.78,15.80,18.22,12.72
Operating Income per Share,5.12,0.42,7.06,8.63,10.18,11.12,12.95,14.94,17.48,9.53
"Basic EPS, GAAP",5.01,-0.42,4.26,8.01,5.84,7.80,8.65,9.71,12.56,10.25
Basic EPS from Cont Ops,3.29,-0.70,4.67,8.48,6.39,8.45,9.38,10.51,13.55,11.11
"Diluted EPS, GAAP",4.92,-0.42,4.21,7.94,5.78,7.73,8.60,9.66,12.51,10.20
Diluted EPS from Cont Ops,3.23,-0.70,4.62,8.40,6.33,8.38,9.33,10.47,13.49,11.06
Dividend per Share,1.12,1.20,1.34,1.45,1.64,2.00,2.28,2.68,3.09,3.23
Cash Flow per Share,2.97,4.45,0.72,5.57,7.87,8.23,11.31,14.80,14.94,8.21
Free Cash Flow per Basic Share,2.55,4.11,0.21,5.13,7.39,7.78,10.84,14.49,14.80,7.93
Cash & Equivalents per Share,5.76,9.19,5.59,9.29,10.99,7.94,11.94,17.14,27.04,3.95
Book Value per Share,28.77,27.05,30.26,37.25,41.09,46.50,51.23,56.68,63.53,55.32
Tangible Book Value per Share,-1.07,-3.83,-12.18,-10.35,-8.89,-11.06,-9.00,-7.20,3.09,-39.84
