,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,8.60,8.17,7.14,6.73,7.14,6.81,6.96,8.01,7.05,6.14
Days Sales Outstanding,42.42,44.69,51.14,54.25,51.10,53.62,52.43,45.57,51.80,59.48
Inventory Turnover,20.68,22.52,19.16,24.55,24.61,24.12,21.42,21.63,21.68,23.30
Days Inventory Outstanding,17.65,16.21,19.05,14.87,14.83,15.13,17.04,16.87,16.83,15.66
Accounts Payable Turnover,6.08,6.07,4.98,4.93,4.67,4.85,4.52,4.90,5.04,5.04
Accounts Payable Turnover Days,60.06,60.10,73.22,74.01,78.19,75.32,80.78,74.42,72.41,72.37
Cash Conversion Cycle,0.01,0.80,-3.03,-4.89,-12.25,-6.56,-11.31,-11.98,-3.78,2.77
Inventory to Cash Days,24.77,28.48,32.09,39.38,36.27,38.49,35.39,28.70,34.96,43.82
Inventories,287,396,298,258,307,296,277,308,389,403
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,287,396,298,258,307,296,277,308,389,403
