,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,2747,2911,2978,3230,3474,3684,3484,3045,3330,3496
"+ Cash, Cash Equivalents & STI",64,110,83,177,90,94,81,461,199,134
+ Cash & Cash Equivalents,64,110,83,177,90,94,81,461,199,134
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,626,599,733,837,776,847,865,785,899,902
"+ Accounts Receivable, Net",626,599,733,737,776,847,865,785,899,902
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,100,0,0,0,0,0,0
+ Inventories,1744,1827,1852,1955,2084,2130,1374,1291,1573,1899
+ Raw Materials,88,106,107,150,161,183,172,151,185,246
+ Work In Process,1235,1244,1219,1260,1383,1481,815,736,805,968
+ Finished Goods,421,477,526,545,540,467,387,404,583,685
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,313,375,310,260,524,613,1164,508,658,562
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,11555,12234,13987,15372,17065,25548,23839,24060,22526,21166
"+ Property, Plant & Equip, Net",1090,1631,2154,3700,3306,3562,5599,6074,6283,7064
"+ Property, Plant & Equip",2014,2682,3333,4977,4790,5267,7057,7808,8236,9456
- Accumulated Depreciation,925,1050,1179,1277,1484,1705,1458,1734,1952,2392
+ LT Investments & Receivables,0,0,0,0,794,6700,4211,4607,2880,757
+ LT Investments,0,0,0,0,794,6700,4211,4607,2880,757
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,10465,10602,11833,11672,12965,15285,14030,13380,13363,13346
+ Total Intangible Assets,9378,9389,10542,11298,11388,11287,10476,10526,10618,10654
+ Goodwill,6147,6208,7139,7921,8083,8089,7757,7794,7862,7925
