,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,3963,3949,3662,4789,4566,4569,4457,6036,8526,7975
"+ Cash, Cash Equivalents & STI",496,497,465,1132,638,311,298,1381,142,396
+ Cash & Cash Equivalents,496,497,465,1132,638,311,298,1381,142,396
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,1633,1397,1332,1303,1636,1608,1455,1512,1561,1231
"+ Accounts Receivable, Net",1633,1397,1332,1303,1636,1608,1455,1512,1561,1231
"+ Notes Receivable, Net",142,136,131,140,165,150,157,156,75,100
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",-141,-136,-131,-140,-165,-150,-157,-156,-75,-100
+ Inventories,1486,1563,1526,1478,2018,2374,2255,2737,5447,5861
+ Raw Materials,275,316,305,301,402,515,567,593,1545,2062
+ Work In Process,129,141,136,133,156,151,162,222,394,339
+ Finished Goods,1082,1105,1085,1044,1461,1707,1526,1923,3508,3461
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,1,0,0,0,0,0,0,0,0,0
+ Other ST Assets,348,493,339,876,274,277,449,405,1377,487
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,12573,11596,11646,10882,14514,14839,16140,17530,19671,16989
"+ Property, Plant & Equip, Net",1485,1454,1450,1451,1743,1915,1960,2054,2347,2353
"+ Property, Plant & Equip",3035,3081,3167,3160,3660,3970,4291,4680,5009,5078
- Accumulated Depreciation,1550,1627,1717,1709,1917,2055,2331,2626,2662,2725
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,11087,10142,10196,9431,12771,12923,14181,15477,17324,14636
+ Total Intangible Assets,10633,10027,9626,8994,12284,12441,12860,14094,13491,12978
+ Goodwill,7565,7276,7084,6694,8776,8957,9238,10038,8784,8503
+ Other Intangible Assets,3068,2752,2542,2300,3507,3484,3622,4055,4706,4475
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,454,115,570,437,488,482,1321,1383,3834,1658
Total Assets,16536,15545,15309,15671,19080,19408,20597,23566,28198,24963
+ Payables & Accruals,2821,2801,2795,2742,3373,3572,4065,4557,6120,4456
+ Accounts Payable,1576,1579,1533,1640,2021,2233,2088,2446,3439,2344
+ Accrued Taxes,88,139,158,118,142,68,244,241,320,261
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,1158,1083,1104,984,1210,1272,1734,1869,2361,1851
+ ST Debt,403,8,8,12,989,379,340,2,2242,2104
+ ST Borrowings,403,8,8,12,989,379,340,2,2242,2104
+ ST Finance Leases,0,0,0,0,0,0,141,139,119,114
+ Other ST Liabilities,6,23,0,54,0,0,0,0,398,0
+ Deferred Revenue,80,84,89,82,99,99,109,109,42,30
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,-73,-61,-89,-28,-99,-99,-109,-109,356,-30
Total Current Liabilities,3230,2832,2803,2808,4362,3951,4406,4558,8761,6560
+ LT Debt,3799,3840,3837,3815,2843,3820,3176,4245,4354,5353
+ LT Borrowings,3799,3840,3837,3815,2843,3820,3176,4245,4354,5353
+ LT Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other LT Liabilities,2643,2344,2810,2674,3575,3757,3872,3696,3491,3336
+ Accrued Liabilities,914,993,826,735,434,705,731,568,711,709
+ Pension Liabilities,744,750,669,644,630,595,609,643,474,354
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,985,601,1315,1294,2511,2457,2532,2486,2306,2273
Total Noncurrent Liabilities,6443,6184,6647,6489,6418,7577,7049,7942,7845,8689
Total Liabilities,9673,9016,9449,9297,10780,11528,11454,12500,16605,15249
+ Preferred Equity and Hybrid Capital,0,0,0,0,750,750,1500,1500,620,0
+ Share Capital & APIC,5321,5169,4864,5217,5086,5063,4935,5275,5442,5498
+ Common Stock,442,442,442,442,442,442,442,442,442,442
+ Additional Paid in Capital,4879,4727,4422,4774,4643,4621,4493,4833,4999,5056
- Treasury Stock,1454,1353,1815,2030,1924,2371,2185,1549,1368,3000
+ Retained Earnings,3485,3926,4492,5127,5990,6219,6773,7548,8742,9333
+ Other Equity,-499,-1270,-1694,-1921,-1586,-1814,-1885,-1714,-1846,-2119
Equity Before Minority Interest,6782,6446,5812,6352,8297,7876,9136,11060,11591,9712
+ Minority/Non Controlling Interest,81,83,48,22,3,4,6,7,2,2
Total Equity,6863,6529,5859,6374,8300,7880,9142,11066,11592,9714
Total Liabilities & Equity,16536,15545,15309,15671,19080,19408,20597,23566,28198,24963
Shares Outstanding,155,157,154,153,154,151,154,161,163,153
Capital Leases - Total,0,0,0,0,0,0,141,139,119,114
Net Debt,3706,3351,3379,2696,3194,3887,3219,2866,6454,7061
Net Debt to Equity,54.00,51.32,57.67,42.29,38.48,49.33,35.21,25.90,55.67,72.69
