,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,23196,32028,35992,38369,79146,51427,54828,52008,59997,33108
"+ Cash, Cash Equivalents & STI",3339,8603,5121,5788,50498,5204,12130,9740,21169,3701
+ Cash & Cash Equivalents,3339,8603,5121,5788,50498,5204,12130,9740,21169,3701
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,12918,14527,16532,16794,16522,26472,22703,20215,17571,11466
"+ Accounts Receivable, Net",12918,14527,16532,16794,16522,26472,22703,20215,17571,11466
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,3695,3464,3123
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,3695,3464,3123
+ Other ST Assets,6939,8898,14339,15787,12126,19751,19995,18358,17793,14818
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,254591,260801,365819,365452,364951,480437,497123,473753,491625,369745
"+ Property, Plant & Equip, Net",110968,112898,124450,124899,125222,131473,-49028,-48407,-53500,-52926
"+ Property, Plant & Equip",274798,282295,306227,319648,313499,330690,154382,152029,150084,149259
- Accumulated Depreciation,163830,169397,181777,194749,188277,199217,203410,200436,203584,202185
+ LT Investments & Receivables,3860,250,1606,1674,1560,6245,3695,1780,7274,3533
+ LT Investments,3860,250,1606,1674,1560,6245,3695,1780,7274,3533
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,139763,147653,239763,238879,238169,342719,542456,520380,537851,419138
+ Total Intangible Assets,131485,136655,225278,222067,219725,310197,303858,281575,292716,197341
+ Goodwill,69273,69692,104568,105207,105449,146370,146241,135259,133223,67895
+ Other Intangible Assets,62212,66963,120710,116860,114276,163827,157617,146316,159493,129446
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,8278,10998,14485,16812,18444,32522,238598,238805,245135,221797
Total Assets,277787,292829,401811,403821,444097,531864,551951,525761,551622,402853
+ Payables & Accruals,25285,27121,35498,36225,37217,48217,50949,53792,54410,44658
+ Accounts Payable,21107,23592,30372,31138,24439,43184,45956,49032,50661,42644
+ Accrued Taxes,1774,1091,2176,2079,1262,1179,1212,1019,1402,798
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,2404,2438,2950,3008,11516,3854,3781,3741,2347,1216
+ ST Debt,5498,6056,7636,9832,38374,10255,11438,3470,25875,7597
+ ST Borrowings,5498,6056,7636,9832,38374,10255,11438,3470,25875,7597
+ ST Finance Leases,0,0,0,0,0,0,162,189,0,0
+ Other ST Liabilities,4212,4105,4682,4519,5798,5948,6191,6176,5303,3918
+ Deferred Revenue,4212,4105,4682,4519,4213,5948,6191,6176,5303,3918
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,0,0,0,0,1585,0,0,0,0,0
Total Current Liabilities,34995,37282,47816,50576,81389,64420,68578,63438,85588,56173
+ LT Debt,69290,76011,118515,113681,125972,166250,173513,175977,174081,147082
+ LT Borrowings,69290,76011,118515,113681,125972,166250,151709,153775,152820,128423
+ LT Finance Leases,0,0,0,0,0,0,21804,22202,21261,18659
+ Other LT Liabilities,82020,92612,111840,115454,94729,107310,107926,107106,108098,93141
+ Accrued Liabilities,36308,37544,55319,60128,43207,57859,59502,60472,64871,57032
+ Pension Liabilities,29946,37079,34262,33578,31775,19218,18788,18276,12649,7260
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,15766,17989,22259,21748,19747,30233,29636,28358,30578,28849
Total Noncurrent Liabilities,151310,168623,230355,229135,220701,273560,281439,283083,282179,240223
Total Liabilities,186305,205905,278171,279711,302090,337980,350017,346521,367767,296396
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,97586,97603,96258,96099,96058,133146,133900,137796,137733,131231
+ Common Stock,6495,6495,6495,6495,6495,7621,7621,7621,7621,7621
+ Additional Paid in Capital,91091,91108,89763,89604,89563,125525,126279,130175,130112,123610
- Treasury Stock,45619,47029,12592,12659,12714,12059,13085,17910,17280,17082
+ Retained Earnings,31141,27736,33671,34734,50500,58753,57936,37457,42350,-19415
+ Other Equity,7880,8060,5334,4961,7017,4249,5470,4330,3529,2766
Equity Before Minority Interest,90988,86370,122671,123135,140861,184089,184221,161673,166332,97500
+ Minority/Non Controlling Interest,494,554,969,975,1146,9795,17713,17567,17523,8957
Total Equity,91482,86924,123640,124110,142007,193884,201934,179240,183855,106457
Total Liabilities & Equity,277787,292829,401811,403821,444097,531864,551951,525761,551622,402853
Shares Outstanding,5226,5187,6145,6139,6139,7282,7255,7126,7141,7128
Capital Leases - Total,0,0,0,0,0,0,21966,22391,21261,18659
Net Debt,71449,73464,121030,117725,113848,171301,151017,147505,157526,132319
Net Debt to Equity,78.10,84.52,97.89,94.86,80.17,88.35,74.79,82.29,85.68,124.29
Tangible Common Equity Ratio,-27,-32,-58,-54,-35,-52,-41,-42,-42,-44
Current Ratio,0.66,0.86,0.75,0.76,0.97,0.80,0.80,0.82,0.70,0.59
Cash Conversion Cycle,-112.75,-96.77,-108.28,-108.87,-92.48,-109.44,-143.81,-153.28,-171.43,-269.61
Number of Employees,243360,253000,281450,268000,252000,268000,246000,230000,203000,160700
