,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,25631,27029,27362,23371,28586,28887,59557,45689,41205,66625
ST Debt,4138,3717,3593,1406,4938,5178,18218,6092,5292,23422
LT Debt,21493,23312,23769,21965,23648,23709,41339,39597,35913,43203
Total Debt/EBITDA,60.88,63.75,59.35,42.11,51.97,52.05,94.53,28.41,29.77,48.77
Net Debt/EBITDA,56.09,58.63,51.64,35.28,47.27,45.06,64.27,16.68,15.11,33.09
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-0.47,-0.55,-0.63,-0.74,-0.66,-0.39,-0.30,-0.93,-1.80,-0.59
EBITDA-CapEx/Interest Expense,-0.47,-0.55,-0.63,-0.74,-0.66,-0.13,-0.19,-0.46,-1.23,-0.35
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-891,-768,-735,-745,-839,-1438,-2096,-1722,-768,-2321
Common Equity/Total Assets,7.99,8.55,8.27,8.60,8.99,9.72,5.61,5.15,5.48,5.92
Long-Term Debt/Equity (%),94.23,95.44,86.94,73.40,79.64,78.56,62.11,55.84,51.84,71.37
Long-Term Debt/Capital (%),50.15,51.02,50.18,48.46,45.82,43.96,45.25,49.47,46.33,40.67
Long-Term Debt/Total Assets (%),11.79,12.48,11.32,10.02,10.67,10.50,8.74,7.78,6.64,7.78
Total Debt/Equity (%),112.37,110.66,100.08,78.10,96.27,95.72,89.48,64.43,59.48,110.06
Total Debt/Capital (%),59.80,59.16,57.77,51.56,55.39,53.56,65.20,57.08,53.16,62.72
Total Debt/Total Assets (%),14.06,14.47,13.03,10.66,12.90,12.80,12.59,8.97,7.61,12.00
Net Debt to Equity,103.53,101.78,87.07,65.42,87.56,82.87,60.84,37.82,30.19,74.67
Net Debt/Capital (%),57.82,57.12,54.34,47.14,53.04,49.96,56.02,43.84,36.54,53.31
EBITDA,421,424,461,555,550,555,630,1608,1384,1366
EBITDA-CapEx,421,424,461,555,550,192,406,793,942,802
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
