,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Market Capitalization,35868,47126,43613,35661,40680,37450,57816,90744,102582,77651
- Cash & Cash Equivalents,695,2210,4046,2512,2643,1556,2577,8511,5911,2229
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,13782,12796,12760,12749,13322,13279,13774,14898,16213,18777
Enterprise Value,48955,57712,49319,44788,49453,48404,67203,89487,107899,92856
Total Capital,26434,22493,20998,18679,19862,19339,20249,23765,23172,23820
Total Debt/Capital (%),52.14,56.89,60.77,68.25,67.07,68.66,68.02,62.69,69.97,78.83
Total Debt / EV,0.28,0.22,0.26,0.28,0.27,0.27,0.20,0.17,0.15,0.20
EV/Sales,0.67,0.79,0.67,0.64,0.68,0.64,0.86,0.96,1.02,0.85
EV/EBITDA,8.08,8.66,6.92,6.16,7.42,7.35,9.25,9.92,9.31,14.18
EV/EBIT,12.76,12.73,10.04,9.01,11.71,11.78,14.43,13.69,12.06,24.13
EV/Cash Flow to Firm,6.77,11.47,7.89,7.33,6.64,7.63,8.97,7.92,12.05,21.07
EV/Free Cash Flow to Firm,4.58,8.47,6.41,5.85,4.96,4.91,6.39,6.42,8.63,9.35
Diluted Market Cap,36371,47118,45835,37350,41369,38566,59124,91563,107246,78386
Diluted Enterprise Value,49458,57704,54549,47587,52048,50289,70321,97950,117548,94934
EV per Share,77.35,90.15,81.89,80.53,91.30,93.49,133.29,178.66,228.95,201.71
TTM Sales,72596,72618,73785,69495,72714,75356,78112,93561,106005,109120
TTM EBITDA,6061,6664,7123,7267,6669,6584,7262,9024,11588,6548
TTM Operating Income,3838,4535,4910,4969,4224,4110,4658,6539,8946,3848
TTM Cash Flow to Firm,7235,5030,6253,6112,7446,6340,7489,11294,8953,4407
TTM Free Cash Flow to Firm,10688,6816,7691,7659,9979,9856,10516,13943,12497,9935
